Record	GBK	Record_Type	Record_Number	CC	Family	contig	region_number	accession
NZ_CP080590.1.region005.gbk_region_5	NZ_CP080590.1.region005	region	5	1154	FAM_00115	NZ_CP080590.1	5	GCF_019504385.1
NZ_STGC01000005.1.region002.gbk_region_2	NZ_STGC01000005.1.region002	region	2	3167	FAM_00116	NZ_STGC01000005.1	2	GCF_005222805.1
NZ_CP045422.1.region006.gbk_region_6	NZ_CP045422.1.region006	region	6	3501	FAM_00117	NZ_CP045422.1	6	GCF_014926585.1
NZ_BMZE01000002.1.region002.gbk_region_2	NZ_BMZE01000002.1.region002	region	2	5465	FAM_00118	NZ_BMZE01000002.1	2	GCF_014652635.1
NZ_FOMB01000021.1.region002.gbk_region_2	NZ_FOMB01000021.1.region002	region	2	5891	FAM_00119	NZ_FOMB01000021.1	2	GCF_900112505.1
NZ_OZ245853.1.region002.gbk_region_2	NZ_OZ245853.1.region002	region	2	6764	FAM_00120	NZ_OZ245853.1	2	GCF_965229025.1
NZ_FOMB01000025.1.region001.gbk_region_1	NZ_FOMB01000025.1.region001	region	1	7164	FAM_00121	NZ_FOMB01000025.1	1	GCF_900112505.1
NZ_FOMB01000051.1.region001.gbk_region_1	NZ_FOMB01000051.1.region001	region	1	8469	FAM_00122	NZ_FOMB01000051.1	1	GCF_900112505.1
NZ_JAQGJM010000022.1.region001.gbk_region_1	NZ_JAQGJM010000022.1.region001	region	1	8523	FAM_00123	NZ_JAQGJM010000022.1	1	GCF_028290625.1
NZ_JBEPOL010000009.1.region001.gbk_region_1	NZ_JBEPOL010000009.1.region001	region	1	10725	FAM_00124	NZ_JBEPOL010000009.1	1	GCF_040546795.1
NZ_CP042304.1.region005.gbk_region_5	NZ_CP042304.1.region005	region	5	11825	FAM_00125	NZ_CP042304.1	5	GCF_007859655.1
NZ_JBTMWU010000004.1.region001.gbk_region_1	NZ_JBTMWU010000004.1.region001	region	1	1540	FAM_00001	NZ_JBTMWU010000004.1	1	GCF_054489375.1
NZ_JBTMWV010000025.1.region001.gbk_region_1	NZ_JBTMWV010000025.1.region001	region	1	1540	FAM_00001	NZ_JBTMWV010000025.1	1	GCF_054489345.1
NZ_LAJF01000101.1.region001.gbk_region_1	NZ_LAJF01000101.1.region001	region	1	4127	FAM_00002	NZ_LAJF01000101.1	1	GCF_000970435.1
NZ_FQVC01000001.1.region001.gbk_region_1	NZ_FQVC01000001.1.region001	region	1	4127	FAM_00002	NZ_FQVC01000001.1	1	GCF_900128975.1
NZ_JACDXV010000002.1.region002.gbk_region_2	NZ_JACDXV010000002.1.region002	region	2	748	FAM_00003	NZ_JACDXV010000002.1	2	GCF_015158295.1
NZ_PYWB01000001.1.region001.gbk_region_1	NZ_PYWB01000001.1.region001	region	1	9320	FAM_00004	NZ_PYWB01000001.1	1	GCF_003056345.1
NZ_CP094375.1.region001.gbk_region_1	NZ_CP094375.1.region001	region	1	54	FAM_00130	NZ_CP094375.1	1	GCF_056341075.1
NZ_JBTLRJ010000003.1.region001.gbk_region_1	NZ_JBTLRJ010000003.1.region001	region	1	54	FAM_00130	NZ_JBTLRJ010000003.1	1	GCF_054482695.1
NZ_JABBDZ010000001.1.region001.gbk_region_1	NZ_JABBDZ010000001.1.region001	region	1	54	FAM_00130	NZ_JABBDZ010000001.1	1	GCF_012847305.1
NZ_CP104007.1.region003.gbk_region_3	NZ_CP104007.1.region003	region	3	54	FAM_00130	NZ_CP104007.1	3	GCF_029201545.1
NZ_CP146608.1.region004.gbk_region_4	NZ_CP146608.1.region004	region	4	54	FAM_00130	NZ_CP146608.1	4	GCF_037113415.1
NZ_CDRNJH010000001.1.region004.gbk_region_4	NZ_CDRNJH010000001.1.region004	region	4	54	FAM_00130	NZ_CDRNJH010000001.1	4	GCF_977014175.1
NZ_CP104002.1.region002.gbk_region_2	NZ_CP104002.1.region002	region	2	54	FAM_00130	NZ_CP104002.1	2	GCF_029201565.1
NZ_JAVKFR010000020.1.region001.gbk_region_1	NZ_JAVKFR010000020.1.region001	region	1	54	FAM_00130	NZ_JAVKFR010000020.1	1	GCF_040223715.1
NZ_CP045422.1.region007.gbk_region_7	NZ_CP045422.1.region007	region	7	54	FAM_00130	NZ_CP045422.1	7	GCF_014926585.1
NZ_LAJF01000089.1.region001.gbk_region_1	NZ_LAJF01000089.1.region001	region	1	54	FAM_00130	NZ_LAJF01000089.1	1	GCF_000970435.1
NZ_FPCK01000001.1.region003.gbk_region_3	NZ_FPCK01000001.1.region003	region	3	54	FAM_00130	NZ_FPCK01000001.1	3	GCF_900116545.1
NZ_JAEKMH010000002.1.region001.gbk_region_1	NZ_JAEKMH010000002.1.region001	region	1	54	FAM_00130	NZ_JAEKMH010000002.1	1	GCF_016411825.1
NZ_JAMYXP010000001.1.region002.gbk_region_2	NZ_JAMYXP010000001.1.region002	region	2	54	FAM_00130	NZ_JAMYXP010000001.1	2	GCF_024158985.1
NZ_JAEMEB010000004.1.region001.gbk_region_1	NZ_JAEMEB010000004.1.region001	region	1	54	FAM_00130	NZ_JAEMEB010000004.1	1	GCF_016457235.1
NZ_CP026747.1.region005.gbk_region_5	NZ_CP026747.1.region005	region	5	54	FAM_00130	NZ_CP026747.1	5	GCF_002949085.1
NZ_CP170082.1.region005.gbk_region_5	NZ_CP170082.1.region005	region	5	54	FAM_00130	NZ_CP170082.1	5	GCF_042181575.1
NZ_UZWD01000040.1.region001.gbk_region_1	NZ_UZWD01000040.1.region001	region	1	54	FAM_00130	NZ_UZWD01000040.1	1	GCF_900631955.1
NZ_PYWB01000014.1.region001.gbk_region_1	NZ_PYWB01000014.1.region001	region	1	54	FAM_00130	NZ_PYWB01000014.1	1	GCF_003056345.1
NZ_FQVC01000002.1.region001.gbk_region_1	NZ_FQVC01000002.1.region001	region	1	54	FAM_00130	NZ_FQVC01000002.1	1	GCF_900128975.1
NZ_LVVY01000070.1.region001.gbk_region_1	NZ_LVVY01000070.1.region001	region	1	54	FAM_00130	NZ_LVVY01000070.1	1	GCF_001650025.1
NZ_JCACVZ010000001.1.region003.gbk_region_3	NZ_JCACVZ010000001.1.region003	region	3	54	FAM_00130	NZ_JCACVZ010000001.1	3	GCF_059070485.1
NZ_JBMQPQ010000013.1.region001.gbk_region_1	NZ_JBMQPQ010000013.1.region001	region	1	54	FAM_00130	NZ_JBMQPQ010000013.1	1	GCF_053550215.1
NZ_CAXUPK020000005.1.region002.gbk_region_2	NZ_CAXUPK020000005.1.region002	region	2	54	FAM_00130	NZ_CAXUPK020000005.1	2	GCF_964252865.1
NZ_CP080590.1.region004.gbk_region_4	NZ_CP080590.1.region004	region	4	54	FAM_00130	NZ_CP080590.1	4	GCF_019504385.1
NZ_WQRF01000001.1.region003.gbk_region_3	NZ_WQRF01000001.1.region003	region	3	54	FAM_00130	NZ_WQRF01000001.1	3	GCF_009758415.1
NZ_JQGC01000010.1.region001.gbk_region_1	NZ_JQGC01000010.1.region001	region	1	54	FAM_00130	NZ_JQGC01000010.1	1	GCF_000743575.1
NZ_FXWK01000001.1.region002.gbk_region_2	NZ_FXWK01000001.1.region002	region	2	54	FAM_00130	NZ_FXWK01000001.1	2	GCF_900177655.1
NZ_CP075529.1.region001.gbk_region_1	NZ_CP075529.1.region001	region	1	54	FAM_00130	NZ_CP075529.1	1	GCF_025809055.1
NZ_JACIEW010000001.1.region001.gbk_region_1	NZ_JACIEW010000001.1.region001	region	1	54	FAM_00130	NZ_JACIEW010000001.1	1	GCF_014197055.1
NZ_JAMZCU010000001.1.region001.gbk_region_1	NZ_JAMZCU010000001.1.region001	region	1	54	FAM_00130	NZ_JAMZCU010000001.1	1	GCF_024273195.1
NZ_LAJG01000014.1.region001.gbk_region_1	NZ_LAJG01000014.1.region001	region	1	54	FAM_00130	NZ_LAJG01000014.1	1	GCF_000970455.1
NZ_JAENGO010000007.1.region001.gbk_region_1	NZ_JAENGO010000007.1.region001	region	1	54	FAM_00130	NZ_JAENGO010000007.1	1	GCF_016595685.1
NZ_JAEMNZ010000001.1.region001.gbk_region_1	NZ_JAEMNZ010000001.1.region001	region	1	54	FAM_00130	NZ_JAEMNZ010000001.1	1	GCF_016461625.1
NZ_JBHTMH010000001.1.region002.gbk_region_2	NZ_JBHTMH010000001.1.region002	region	2	54	FAM_00130	NZ_JBHTMH010000001.1	2	GCF_042679405.1
NZ_JACYFU010000001.1.region002.gbk_region_2	NZ_JACYFU010000001.1.region002	region	2	54	FAM_00130	NZ_JACYFU010000001.1	2	GCF_014837245.1
NZ_CP059902.1.region002.gbk_region_2	NZ_CP059902.1.region002	region	2	54	FAM_00130	NZ_CP059902.1	2	GCF_014127105.1
NZ_JADGNE010000014.1.region001.gbk_region_1	NZ_JADGNE010000014.1.region001	region	1	54	FAM_00130	NZ_JADGNE010000014.1	1	GCF_015234425.1
NZ_JAQGJM010000021.1.region001.gbk_region_1	NZ_JAQGJM010000021.1.region001	region	1	54	FAM_00130	NZ_JAQGJM010000021.1	1	GCF_028290625.1
NZ_PYVZ01000006.1.region001.gbk_region_1	NZ_PYVZ01000006.1.region001	region	1	54	FAM_00130	NZ_PYVZ01000006.1	1	GCF_003056405.1
NZ_JZEY01000054.1.region002.gbk_region_2	NZ_JZEY01000054.1.region002	region	2	54	FAM_00130	NZ_JZEY01000054.1	2	GCF_000969445.1
NZ_LMHK01000001.1.region002.gbk_region_2	NZ_LMHK01000001.1.region002	region	2	54	FAM_00130	NZ_LMHK01000001.1	2	GCF_001427875.1
NZ_JAMWDU010000001.1.region001.gbk_region_1	NZ_JAMWDU010000001.1.region001	region	1	54	FAM_00130	NZ_JAMWDU010000001.1	1	GCF_024273205.1
NZ_MKUY01000003.1.region001.gbk_region_1	NZ_MKUY01000003.1.region001	region	1	54	FAM_00130	NZ_MKUY01000003.1	1	GCF_001899045.1
NZ_JACDXV010000001.1.region001.gbk_region_1	NZ_JACDXV010000001.1.region001	region	1	54	FAM_00130	NZ_JACDXV010000001.1	1	GCF_015158295.1
NZ_JBKJHF010000001.1.region002.gbk_region_2	NZ_JBKJHF010000001.1.region002	region	2	54	FAM_00130	NZ_JBKJHF010000001.1	2	GCF_046614475.1
NZ_CP126539.1.region002.gbk_region_2	NZ_CP126539.1.region002	region	2	54	FAM_00131	NZ_CP126539.1	2	GCF_030177755.1
NZ_PYVW01000009.1.region001.gbk_region_1	NZ_PYVW01000009.1.region001	region	1	54	FAM_00131	NZ_PYVW01000009.1	1	GCF_003056355.1
NZ_FOFL01000007.1.region001.gbk_region_1	NZ_FOFL01000007.1.region001	region	1	54	FAM_00131	NZ_FOFL01000007.1	1	GCF_900110945.1
NZ_CP068046.1.region003.gbk_region_3	NZ_CP068046.1.region003	region	3	54	FAM_00131	NZ_CP068046.1	3	GCF_016698665.1
NZ_JANQAJ010000011.1.region001.gbk_region_1	NZ_JANQAJ010000011.1.region001	region	1	54	FAM_00131	NZ_JANQAJ010000011.1	1	GCF_024707105.1
NZ_LMGZ01000021.1.region001.gbk_region_1	NZ_LMGZ01000021.1.region001	region	1	54	FAM_00131	NZ_LMGZ01000021.1	1	GCF_001427605.1
NZ_CP042304.1.region002.gbk_region_2	NZ_CP042304.1.region002	region	2	54	FAM_00131	NZ_CP042304.1	2	GCF_007859655.1
NZ_JBHUNP010000001.1.region003.gbk_region_3	NZ_JBHUNP010000001.1.region003	region	3	54	FAM_00131	NZ_JBHUNP010000001.1	3	GCF_042685625.1
NZ_JABAOL010000001.1.region003.gbk_region_3	NZ_JABAOL010000001.1.region003	region	3	54	FAM_00131	NZ_JABAOL010000001.1	3	GCF_013185965.1
NZ_JABAOM010000001.1.region001.gbk_region_1	NZ_JABAOM010000001.1.region001	region	1	54	FAM_00131	NZ_JABAOM010000001.1	1	GCF_013185955.1
NZ_LANJ01000011.1.region001.gbk_region_1	NZ_LANJ01000011.1.region001	region	1	54	FAM_00131	NZ_LANJ01000011.1	1	GCF_000971295.1
NZ_LMLO01000018.1.region001.gbk_region_1	NZ_LMLO01000018.1.region001	region	1	54	FAM_00131	NZ_LMLO01000018.1	1	GCF_001421945.1
NZ_STGC01000005.1.region003.gbk_region_3	NZ_STGC01000005.1.region003	region	3	54	FAM_00131	NZ_STGC01000005.1	3	GCF_005222805.1
NZ_JAQGJV010000003.1.region001.gbk_region_1	NZ_JAQGJV010000003.1.region001	region	1	54	FAM_00131	NZ_JAQGJV010000003.1	1	GCF_028290435.1
NZ_FOMB01000002.1.region001.gbk_region_1	NZ_FOMB01000002.1.region001	region	1	54	FAM_00131	NZ_FOMB01000002.1	1	GCF_900112505.1
NZ_MKUZ01000008.1.region001.gbk_region_1	NZ_MKUZ01000008.1.region001	region	1	54	FAM_00131	NZ_MKUZ01000008.1	1	GCF_001899065.1
NZ_CP186479.1.region001.gbk_region_1	NZ_CP186479.1.region001	region	1	54	FAM_00131	NZ_CP186479.1	1	GCF_049354815.1
NZ_JBTMWV010000006.1.region001.gbk_region_1	NZ_JBTMWV010000006.1.region001	region	1	54	FAM_00131	NZ_JBTMWV010000006.1	1	GCF_054489345.1
NZ_JBYUNO010000002.1.region001.gbk_region_1	NZ_JBYUNO010000002.1.region001	region	1	54	FAM_00131	NZ_JBYUNO010000002.1	1	GCF_058133495.1
NZ_LMEM01000001.1.region001.gbk_region_1	NZ_LMEM01000001.1.region001	region	1	54	FAM_00131	NZ_LMEM01000001.1	1	GCF_001426345.1
NZ_AP027921.1.region003.gbk_region_3	NZ_AP027921.1.region003	region	3	54	FAM_00131	NZ_AP027921.1	3	GCF_055397495.1
NZ_JBYUNQ010000004.1.region001.gbk_region_1	NZ_JBYUNQ010000004.1.region001	region	1	54	FAM_00131	NZ_JBYUNQ010000004.1	1	GCF_058133665.1
NZ_JAIMBX010000001.1.region002.gbk_region_2	NZ_JAIMBX010000001.1.region002	region	2	54	FAM_00131	NZ_JAIMBX010000001.1	2	GCF_032907385.1
NZ_CP068047.1.region003.gbk_region_3	NZ_CP068047.1.region003	region	3	54	FAM_00131	NZ_CP068047.1	3	GCF_016698645.1
NZ_LMQU01000003.1.region001.gbk_region_1	NZ_LMQU01000003.1.region001	region	1	54	FAM_00131	NZ_LMQU01000003.1	1	GCF_001425445.1
NZ_CP034767.1.region002.gbk_region_2	NZ_CP034767.1.region002	region	2	54	FAM_00131	NZ_CP034767.1	2	GCF_004005995.1
NZ_JAFKHE010000017.1.region001.gbk_region_1	NZ_JAFKHE010000017.1.region001	region	1	54	FAM_00131	NZ_JAFKHE010000017.1	1	GCF_017307495.1
NZ_BSNG01000001.1.region003.gbk_region_3	NZ_BSNG01000001.1.region003	region	3	54	FAM_00131	NZ_BSNG01000001.1	3	GCF_030159855.1
NZ_CP104965.1.region004.gbk_region_4	NZ_CP104965.1.region004	region	4	54	FAM_00131	NZ_CP104965.1	4	GCF_025452235.1
NZ_JBJDRE010000009.1.region001.gbk_region_1	NZ_JBJDRE010000009.1.region001	region	1	54	FAM_00131	NZ_JBJDRE010000009.1	1	GCF_044987315.1
NZ_JNNO01000008.1.region001.gbk_region_1	NZ_JNNO01000008.1.region001	region	1	54	FAM_00131	NZ_JNNO01000008.1	1	GCF_000735585.1
NZ_JBEPOL010000001.1.region001.gbk_region_1	NZ_JBEPOL010000001.1.region001	region	1	54	FAM_00131	NZ_JBEPOL010000001.1	1	GCF_040546795.1
NZ_JBTMWU010000011.1.region001.gbk_region_1	NZ_JBTMWU010000011.1.region001	region	1	54	FAM_00131	NZ_JBTMWU010000011.1	1	GCF_054489375.1
NZ_JBEPOO010000001.1.region002.gbk_region_2	NZ_JBEPOO010000001.1.region002	region	2	54	FAM_00131	NZ_JBEPOO010000001.1	2	GCF_040546815.1
NZ_CP063401.1.region001.gbk_region_1	NZ_CP063401.1.region001	region	1	54	FAM_00131	NZ_CP063401.1	1	GCF_021729885.1
NZ_CP092483.1.region003.gbk_region_3	NZ_CP092483.1.region003	region	3	54	FAM_00131	NZ_CP092483.1	3	GCF_022429625.1
NZ_JBFUCQ010000002.1.region001.gbk_region_1	NZ_JBFUCQ010000002.1.region001	region	1	54	FAM_00132	NZ_JBFUCQ010000002.1	1	GCF_056405135.1
NZ_JAFKHC010000003.1.region002.gbk_region_2	NZ_JAFKHC010000003.1.region002	region	2	54	FAM_00132	NZ_JAFKHC010000003.1	2	GCF_017307475.1
NZ_JBTSEP010000011.1.region001.gbk_region_1	NZ_JBTSEP010000011.1.region001	region	1	54	FAM_00132	NZ_JBTSEP010000011.1	1	GCF_054605195.1
NZ_JBLXGA010000004.1.region001.gbk_region_1	NZ_JBLXGA010000004.1.region001	region	1	54	FAM_00132	NZ_JBLXGA010000004.1	1	GCF_048261455.1
NZ_JAQRMY010000004.1.region001.gbk_region_1	NZ_JAQRMY010000004.1.region001	region	1	54	FAM_00132	NZ_JAQRMY010000004.1	1	GCF_028613635.1
NZ_JBFUFI010000016.1.region001.gbk_region_1	NZ_JBFUFI010000016.1.region001	region	1	54	FAM_00132	NZ_JBFUFI010000016.1	1	GCF_056403495.1
NZ_CM147875.1.region005.gbk_region_5	NZ_CM147875.1.region005	region	5	54	FAM_00132	NZ_CM147875.1	5	GCF_055808595.1
NZ_OZ245853.1.region003.gbk_region_3	NZ_OZ245853.1.region003	region	3	54	FAM_00132	NZ_OZ245853.1	3	GCF_965229025.1
NZ_BMZE01000001.1.region001.gbk_region_1	NZ_BMZE01000001.1.region001	region	1	54	FAM_00132	NZ_BMZE01000001.1	1	GCF_014652635.1
NZ_MKVA01000005.1.region002.gbk_region_2	NZ_MKVA01000005.1.region002	region	2	54	FAM_00132	NZ_MKVA01000005.1	2	GCF_001899075.1
NZ_JBVKGV010000086.1.region001.gbk_region_1	NZ_JBVKGV010000086.1.region001	region	1	54	FAM_00132	NZ_JBVKGV010000086.1	1	GCF_055633315.1
NZ_JBHLYO010000015.1.region001.gbk_region_1	NZ_JBHLYO010000015.1.region001	region	1	54	FAM_00132	NZ_JBHLYO010000015.1	1	GCF_042431865.1
NZ_BSNS01000024.1.region001.gbk_region_1	NZ_BSNS01000024.1.region001	region	1	54	FAM_00132	NZ_BSNS01000024.1	1	GCF_030160115.1
NZ_JBDGIY010000001.1.region004.gbk_region_4	NZ_JBDGIY010000001.1.region004	region	4	54	FAM_00132	NZ_JBDGIY010000001.1	4	GCF_057657195.1
NZ_CM147870.1.region004.gbk_region_4	NZ_CM147870.1.region004	region	4	54	FAM_00133	NZ_CM147870.1	4	GCF_055808475.1
NZ_JBNMEO010000091.1.region001.gbk_region_1	NZ_JBNMEO010000091.1.region001	region	1	54	FAM_00133	NZ_JBNMEO010000091.1	1	GCF_051302775.1
NZ_CP118245.1.region005.gbk_region_5	NZ_CP118245.1.region005	region	5	54	FAM_00133	NZ_CP118245.1	5	GCF_028816435.1
NZ_JAPWHK010000004.1.region001.gbk_region_1	NZ_JAPWHK010000004.1.region001	region	1	54	FAM_00133	NZ_JAPWHK010000004.1	1	GCF_027214225.1
NZ_JAGXTP010000001.1.region003.gbk_region_3	NZ_JAGXTP010000001.1.region003	region	3	54	FAM_00133	NZ_JAGXTP010000001.1	3	GCF_018334155.1
NZ_CP012945.1.region004.gbk_region_4	NZ_CP012945.1.region004	region	4	54	FAM_00134	NZ_CP012945.1	4	GCF_001402915.1
NZ_CAXUPH020000003.1.region002.gbk_region_2	NZ_CAXUPH020000003.1.region002	region	2	54	FAM_00134	NZ_CAXUPH020000003.1	2	GCF_964252795.1
NZ_MKVB01000001.1.region001.gbk_region_1	NZ_MKVB01000001.1.region001	region	1	54	FAM_00134	NZ_MKVB01000001.1	1	GCF_001899085.1
NZ_LMCR01000015.1.region001.gbk_region_1	NZ_LMCR01000015.1.region001	region	1	54	FAM_00134	NZ_LMCR01000015.1	1	GCF_001424865.1
NZ_LMEA01000011.1.region002.gbk_region_2	NZ_LMEA01000011.1.region002	region	2	54	FAM_00134	NZ_LMEA01000011.1	2	GCF_001425235.1
NZ_JBXAPX010000004.1.region002.gbk_region_2	NZ_JBXAPX010000004.1.region002	region	2	54	FAM_00134	NZ_JBXAPX010000004.1	2	GCF_058806655.1
NZ_JBFUGO010000010.1.region001.gbk_region_1	NZ_JBFUGO010000010.1.region001	region	1	54	FAM_00134	NZ_JBFUGO010000010.1	1	GCF_056402875.1
NZ_JAFKHA010000009.1.region001.gbk_region_1	NZ_JAFKHA010000009.1.region001	region	1	54	FAM_00134	NZ_JAFKHA010000009.1	1	GCF_017307535.1
NZ_JBYUNQ010000001.1.region001.gbk_region_1	NZ_JBYUNQ010000001.1.region001	region	1	1046	FAM_00135	NZ_JBYUNQ010000001.1	1	GCF_058133665.1
NZ_JBYUNO010000003.1.region002.gbk_region_2	NZ_JBYUNO010000003.1.region002	region	2	1046	FAM_00135	NZ_JBYUNO010000003.1	2	GCF_058133495.1
NZ_JABAOM010000002.1.region002.gbk_region_2	NZ_JABAOM010000002.1.region002	region	2	1046	FAM_00135	NZ_JABAOM010000002.1	2	GCF_013185955.1
NZ_CP034767.1.region004.gbk_region_4	NZ_CP034767.1.region004	region	4	1046	FAM_00135	NZ_CP034767.1	4	GCF_004005995.1
NZ_JABAOL010000001.1.region005.gbk_region_5	NZ_JABAOL010000001.1.region005	region	5	1046	FAM_00135	NZ_JABAOL010000001.1	5	GCF_013185965.1
NZ_CP104002.1.region001.gbk_region_1	NZ_CP104002.1.region001	region	1	1711	FAM_00136	NZ_CP104002.1	1	GCF_029201565.1
NZ_JADGNE010000044.1.region001.gbk_region_1	NZ_JADGNE010000044.1.region001	region	1	1711	FAM_00136	NZ_JADGNE010000044.1	1	GCF_015234425.1
NZ_CP104007.1.region002.gbk_region_2	NZ_CP104007.1.region002	region	2	1711	FAM_00136	NZ_CP104007.1	2	GCF_029201545.1
NZ_JBHUNP010000001.1.region001.gbk_region_1	NZ_JBHUNP010000001.1.region001	region	1	511	FAM_00137	NZ_JBHUNP010000001.1	1	GCF_042685625.1
NZ_PYWB01000002.1.region001.gbk_region_1	NZ_PYWB01000002.1.region001	region	1	3212	FAM_00138	NZ_PYWB01000002.1	1	GCF_003056345.1
NZ_CP127251.1.region001.gbk_region_1	NZ_CP127251.1.region001	region	1	3425	FAM_00139	NZ_CP127251.1	1	GCF_030285925.1
NZ_LAJG01000022.1.region001.gbk_region_1	NZ_LAJG01000022.1.region001	region	1	5457	FAM_00140	NZ_LAJG01000022.1	1	GCF_000970455.1
NZ_FXWK01000001.1.region003.gbk_region_3	NZ_FXWK01000001.1.region003	region	3	7177	FAM_00141	NZ_FXWK01000001.1	3	GCF_900177655.1
NZ_CP068046.1.region004.gbk_region_4	NZ_CP068046.1.region004	region	4	7181	FAM_00142	NZ_CP068046.1	4	GCF_016698665.1
NZ_JBLXGA010000001.1.region001.gbk_region_1	NZ_JBLXGA010000001.1.region001	region	1	7400	FAM_00143	NZ_JBLXGA010000001.1	1	GCF_048261455.1
NZ_CP063401.1.region005.gbk_region_5	NZ_CP063401.1.region005	region	5	8260	FAM_00144	NZ_CP063401.1	5	GCF_021729885.1
NZ_FPCK01000004.1.region002.gbk_region_2	NZ_FPCK01000004.1.region002	region	2	12530	FAM_00145	NZ_FPCK01000004.1	2	GCF_900116545.1
NZ_JBHRYD010000001.1.region001.gbk_region_1	NZ_JBHRYD010000001.1.region001	region	1	3070	FAM_00205	NZ_JBHRYD010000001.1	1	GCF_042648785.1
NZ_LMEM01000009.1.region001.gbk_region_1	NZ_LMEM01000009.1.region001	region	1	5	FAM_00005	NZ_LMEM01000009.1	1	GCF_001426345.1
NZ_AP027921.1.region004.gbk_region_4	NZ_AP027921.1.region004	region	4	5	FAM_00005	NZ_AP027921.1	4	GCF_055397495.1
NZ_FOMB01000007.1.region001.gbk_region_1	NZ_FOMB01000007.1.region001	region	1	5	FAM_00005	NZ_FOMB01000007.1	1	GCF_900112505.1
NZ_JBTMWV010000001.1.region001.gbk_region_1	NZ_JBTMWV010000001.1.region001	region	1	5	FAM_00005	NZ_JBTMWV010000001.1	1	GCF_054489345.1
