Record	GBK	Record_Type	Record_Number	CC	Family	bgc_class	genome	Class	Category	Description	Taxonomy	GCF_ID	cutoff
NZ_JBFUFI010000008.1.region001.gbk_region_1	NZ_JBFUFI010000008.1.region001	region	1	3319	FAM_00292	PKS	Unknown	T3PKS	PKS	NZ_JBFUFI010000008.1 Devosia sp. P2_G7 scaffold_7, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00292	0.3
NZ_LMEA01000012.1.region002.gbk_region_2	NZ_LMEA01000012.1.region002	region	2	4013	FAM_00293	PKS	Unknown	T3PKS	PKS	NZ_LMEA01000012.1 Devosia sp. Root413D1 contig_7, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00293	0.3
NZ_CAXUPH020000001.1.region002.gbk_region_2	NZ_CAXUPH020000001.1.region002	region	2	4013	FAM_00293	PKS	Unknown	T3PKS	PKS	NZ_CAXUPH020000001.1 Devosia sp. LjRoot16 LJR016c1, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00293	0.3
NZ_JBXAPX010000002.1.region002.gbk_region_2	NZ_JBXAPX010000002.1.region002	region	2	4013	FAM_00293	PKS	Unknown	T3PKS	PKS	NZ_JBXAPX010000002.1 Devosia sp. GW821-FHT12F11 NODE_2_length_929012_cov_60.894576, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00293	0.3
NZ_LMCR01000019.1.region001.gbk_region_1	NZ_LMCR01000019.1.region001	region	1	4013	FAM_00293	PKS	Unknown	T3PKS	PKS	NZ_LMCR01000019.1 Devosia sp. Root105 contig_7, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00293	0.3
NZ_CP045422.1.region006.gbk_region_6	NZ_CP045422.1.region006	region	6	787	FAM_00294	PKS	Unknown	T3PKS	PKS	NZ_CP045422.1 Devosia beringensis strain S02 chromosome, complete genome	Unknown	PKS_c0.3_famFAM_00294	0.3
NZ_OZ245853.1.region002.gbk_region_2	NZ_OZ245853.1.region002	region	2	1656	FAM_00295	PKS	Unknown	T3PKS	PKS	NZ_OZ245853.1 MAG: Devosia sp. isolate 3d186a37-0bcd-4ac1-b259-f5c9590ee027 chromosome 1	Unknown	PKS_c0.3_famFAM_00295	0.3
NZ_JAQGJM010000022.1.region001.gbk_region_1	NZ_JAQGJM010000022.1.region001	region	1	2936	FAM_00296	PKS	Unknown	T3PKS	PKS	NZ_JAQGJM010000022.1 MAG: Devosia sp. isolate RYN_485 scaffold_3385130, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00296	0.3
NZ_JBEPOL010000009.1.region001.gbk_region_1	NZ_JBEPOL010000009.1.region001	region	1	3042	FAM_00297	PKS	Unknown	T3PKS	PKS	NZ_JBEPOL010000009.1 Devosia sp. UYZn731 Ga0493902_09, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00297	0.3
NZ_FOMB01000021.1.region002.gbk_region_2	NZ_FOMB01000021.1.region002	region	2	3372	FAM_00298	PKS	Unknown	T3PKS	PKS	NZ_FOMB01000021.1 Devosia psychrophila strain CGMCC 1.10210, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00298	0.3
NZ_FOMB01000051.1.region001.gbk_region_1	NZ_FOMB01000051.1.region001	region	1	4600	FAM_00299	PKS	Unknown	T3PKS	PKS	NZ_FOMB01000051.1 Devosia psychrophila strain CGMCC 1.10210, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00299	0.3
NZ_STGC01000005.1.region002.gbk_region_2	NZ_STGC01000005.1.region002	region	2	4703	FAM_00300	PKS	Unknown	T3PKS	PKS	NZ_STGC01000005.1 Devosia sp. FKR38 NODE_14_length_2742056_cov_203.257278, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00300	0.3
NZ_CP042304.1.region005.gbk_region_5	NZ_CP042304.1.region005	region	5	5050	FAM_00301	PKS	Unknown	T1PKS	PKS	NZ_CP042304.1 Devosia ginsengisoli strain Gsoil 520 chromosome, complete genome	Unknown	PKS_c0.3_famFAM_00301	0.3
NZ_CP080590.1.region005.gbk_region_5	NZ_CP080590.1.region005	region	5	6677	FAM_00302	PKS	Unknown	T1PKS	PKS	NZ_CP080590.1 Devosia salina strain SCS-3 chromosome, complete genome	Unknown	PKS_c0.3_famFAM_00302	0.3
NZ_FOMB01000025.1.region001.gbk_region_1	NZ_FOMB01000025.1.region001	region	1	9082	FAM_00303	PKS	Unknown	T3PKS	PKS	NZ_FOMB01000025.1 Devosia psychrophila strain CGMCC 1.10210, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00303	0.3
NZ_BMZE01000002.1.region002.gbk_region_2	NZ_BMZE01000002.1.region002	region	2	11879	FAM_00304	PKS	Unknown	T3PKS	PKS	NZ_BMZE01000002.1 Devosia pacifica strain KCTC 32437 sequence2, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00304	0.3
NZ_LAJF01000101.1.region001.gbk_region_1	NZ_LAJF01000101.1.region001	region	1	1424	FAM_00173	NRPS.PKS	Unknown	NRPS-like.T1PKS	NRPS.PKS	NZ_LAJF01000101.1 Devosia limi DSM 17137 NODE_101, whole genome shotgun sequence	Unknown	NRPS.PKS_c0.3_famFAM_00173	0.3
NZ_FQVC01000001.1.region001.gbk_region_1	NZ_FQVC01000001.1.region001	region	1	1424	FAM_00173	NRPS.PKS	Unknown	NRPS-like.T1PKS	NRPS.PKS	NZ_FQVC01000001.1 Devosia limi DSM 17137, whole genome shotgun sequence	Unknown	NRPS.PKS_c0.3_famFAM_00173	0.3
NZ_JBTMWU010000004.1.region001.gbk_region_1	NZ_JBTMWU010000004.1.region001	region	1	1923	FAM_00174	NRPS.PKS	Unknown	NRPS-like.T1PKS	NRPS.PKS	NZ_JBTMWU010000004.1 Devosia sp. A449 Scaffold4, whole genome shotgun sequence	Unknown	NRPS.PKS_c0.3_famFAM_00174	0.3
NZ_JBTMWV010000025.1.region001.gbk_region_1	NZ_JBTMWV010000025.1.region001	region	1	1923	FAM_00174	NRPS.PKS	Unknown	NRPS-like.T1PKS	NRPS.PKS	NZ_JBTMWV010000025.1 Devosia sp. A369 Scaffold25, whole genome shotgun sequence	Unknown	NRPS.PKS_c0.3_famFAM_00174	0.3
NZ_JACDXV010000002.1.region002.gbk_region_2	NZ_JACDXV010000002.1.region002	region	2	8499	FAM_00175	NRPS.PKS	Unknown	NRPS-like.T1PKS	NRPS.PKS	NZ_JACDXV010000002.1 Devosia faecipullorum strain CC-YST696 contig02, whole genome shotgun sequence	Unknown	NRPS.PKS_c0.3_famFAM_00175	0.3
NZ_PYWB01000001.1.region001.gbk_region_1	NZ_PYWB01000001.1.region001	region	1	10924	FAM_00176	NRPS.PKS	Unknown	NRPS-like.T1PKS	NRPS.PKS	NZ_PYWB01000001.1 Devosia submarina strain JCM 18935 scaffold1, whole genome shotgun sequence	Unknown	NRPS.PKS_c0.3_famFAM_00176	0.3
NZ_CP186479.1.region001.gbk_region_1	NZ_CP186479.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_CP186479.1 Devosia sp. CN2-171 chromosome, complete genome	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_JANQAJ010000011.1.region001.gbk_region_1	NZ_JANQAJ010000011.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_JANQAJ010000011.1 MAG: Devosia ginsengisoli isolate 46_gen_w_cov.5 c262, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_JBTMWV010000006.1.region001.gbk_region_1	NZ_JBTMWV010000006.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_JBTMWV010000006.1 Devosia sp. A369 Scaffold6, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_JBEPOO010000001.1.region002.gbk_region_2	NZ_JBEPOO010000001.1.region002	region	2	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_JBEPOO010000001.1 Devosia sp. 2618 Ga0501505_01, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_JAIMBX010000001.1.region002.gbk_region_2	NZ_JAIMBX010000001.1.region002	region	2	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_JAIMBX010000001.1 Devosia sp. BK 9_Devo_1, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_CP068046.1.region003.gbk_region_3	NZ_CP068046.1.region003	region	3	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_CP068046.1 Devosia rhizoryzae strain LEGU1 chromosome	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_JBYUNQ010000004.1.region001.gbk_region_1	NZ_JBYUNQ010000004.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_JBYUNQ010000004.1 Devosia sp. Z11_6 NODE_4_length_480685_cov_153.006625, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_FOMB01000002.1.region001.gbk_region_1	NZ_FOMB01000002.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_FOMB01000002.1 Devosia psychrophila strain CGMCC 1.10210, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_STGC01000005.1.region003.gbk_region_3	NZ_STGC01000005.1.region003	region	3	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_STGC01000005.1 Devosia sp. FKR38 NODE_14_length_2742056_cov_203.257278, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_LMEM01000001.1.region001.gbk_region_1	NZ_LMEM01000001.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_LMEM01000001.1 Devosia sp. Root436 contig_1, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_LMGZ01000021.1.region001.gbk_region_1	NZ_LMGZ01000021.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_LMGZ01000021.1 Devosia sp. Root635 contig_6, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_JAQGJV010000003.1.region001.gbk_region_1	NZ_JAQGJV010000003.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_JAQGJV010000003.1 MAG: Devosia sp. isolate RYN_494 scaffold_5290636, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_CP092483.1.region003.gbk_region_3	NZ_CP092483.1.region003	region	3	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_CP092483.1 Devosia lacusdianchii strain JXJ CY 41 chromosome	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_JBTMWU010000011.1.region001.gbk_region_1	NZ_JBTMWU010000011.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_JBTMWU010000011.1 Devosia sp. A449 Scaffold11, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_PYVW01000009.1.region001.gbk_region_1	NZ_PYVW01000009.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_PYVW01000009.1 Devosia naphthalenivorans strain CM5-1 scaffold9, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_CP063401.1.region001.gbk_region_1	NZ_CP063401.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_CP063401.1 Devosia sp. SL43 chromosome, complete genome	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_JBJDRE010000009.1.region001.gbk_region_1	NZ_JBJDRE010000009.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_JBJDRE010000009.1 Devosia sp. ZW T5_3 ZW_T5_3_contig_009, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_LMLO01000018.1.region001.gbk_region_1	NZ_LMLO01000018.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_LMLO01000018.1 Devosia sp. Leaf64 contig_3, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_CP068047.1.region003.gbk_region_3	NZ_CP068047.1.region003	region	3	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_CP068047.1 Devosia oryziradicis strain G19 chromosome	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_JAFKHE010000017.1.region001.gbk_region_1	NZ_JAFKHE010000017.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_JAFKHE010000017.1 MAG: Devosia sp. isolate SCN18_30_10_14_R3_P_66_71 SCN18_30_10_14_R3_P_scaffold_84, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_CP034767.1.region002.gbk_region_2	NZ_CP034767.1.region002	region	2	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_CP034767.1 Devosia sp. 1566 chromosome, complete genome	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_FOFL01000007.1.region001.gbk_region_1	NZ_FOFL01000007.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_FOFL01000007.1 Devosia sp. YR412, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_MKUZ01000008.1.region001.gbk_region_1	NZ_MKUZ01000008.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_MKUZ01000008.1 MAG: Devosia sp. 66-22 SCNpilot_expt_1000_bf_scaffold_164, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_JBHUNP010000001.1.region003.gbk_region_3	NZ_JBHUNP010000001.1.region003	region	3	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_JBHUNP010000001.1 Devosia albogilva strain CCM 7427 tig00000001, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_LANJ01000011.1.region001.gbk_region_1	NZ_LANJ01000011.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_LANJ01000011.1 Devosia epidermidihirudinis strain E84 contig11, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_CP104965.1.region004.gbk_region_4	NZ_CP104965.1.region004	region	4	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_CP104965.1 Devosia neptuniae strain A18/4-1 chromosome, complete genome	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_JNNO01000008.1.region001.gbk_region_1	NZ_JNNO01000008.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_JNNO01000008.1 Devosia sp. LC5 contig16, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_CP126539.1.region002.gbk_region_2	NZ_CP126539.1.region002	region	2	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_CP126539.1 Devosia rhizosphaerae strain RR2S18 chromosome, complete genome	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_BSNG01000001.1.region003.gbk_region_3	NZ_BSNG01000001.1.region003	region	3	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_BSNG01000001.1 Devosia yakushimensis strain NBRC 103855 sequence01, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_CP042304.1.region002.gbk_region_2	NZ_CP042304.1.region002	region	2	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_CP042304.1 Devosia ginsengisoli strain Gsoil 520 chromosome, complete genome	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_JBEPOL010000001.1.region001.gbk_region_1	NZ_JBEPOL010000001.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_JBEPOL010000001.1 Devosia sp. UYZn731 Ga0493902_01, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_LMQU01000003.1.region001.gbk_region_1	NZ_LMQU01000003.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_LMQU01000003.1 Devosia sp. Leaf420 contig_11, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_AP027921.1.region003.gbk_region_3	NZ_AP027921.1.region003	region	3	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_AP027921.1 Devosia sp. T2-14 chromosome, complete genome	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_JABAOL010000001.1.region003.gbk_region_3	NZ_JABAOL010000001.1.region003	region	3	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_JABAOL010000001.1 Devosia sp. 919 Scaffold1_1, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_JABAOM010000001.1.region001.gbk_region_1	NZ_JABAOM010000001.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_JABAOM010000001.1 Devosia sp. 1635 Scaffold1_1, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_JBYUNO010000002.1.region001.gbk_region_1	NZ_JBYUNO010000002.1.region001	region	1	183	FAM_00330	terpene	Unknown	terpene	terpene	NZ_JBYUNO010000002.1 Devosia sp. Z6_126 NODE_2_length_1040994_cov_129.185188, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00330	0.3
NZ_MKVA01000005.1.region002.gbk_region_2	NZ_MKVA01000005.1.region002	region	2	183	FAM_00331	terpene	Unknown	terpene	terpene	NZ_MKVA01000005.1 MAG: Devosia sp. 67-54 SCNpilot_cont_1000_bf_scaffold_3, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00331	0.3
NZ_BSNS01000024.1.region001.gbk_region_1	NZ_BSNS01000024.1.region001	region	1	183	FAM_00331	terpene	Unknown	terpene	terpene	NZ_BSNS01000024.1 Devosia nitrariae strain NBRC 112416 sequence24, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00331	0.3
NZ_JBTSEP010000011.1.region001.gbk_region_1	NZ_JBTSEP010000011.1.region001	region	1	183	FAM_00331	terpene	Unknown	terpene	terpene	NZ_JBTSEP010000011.1 MAG: Devosia sp. isolate ML34-012-05 ML34_012_NODE_106_length_90423_cov_7.643329, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00331	0.3
NZ_JBHLYO010000015.1.region001.gbk_region_1	NZ_JBHLYO010000015.1.region001	region	1	183	FAM_00331	terpene	Unknown	terpene	terpene	NZ_JBHLYO010000015.1 Devosia nitrariae strain NBRC 112416 platanus_K_default_15, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00331	0.3
NZ_JBDGIY010000001.1.region004.gbk_region_4	NZ_JBDGIY010000001.1.region004	region	4	183	FAM_00331	terpene	Unknown	terpene	terpene	NZ_JBDGIY010000001.1 Devosia sp. Soil_C_22 NODE_1_length_3502528_cov_134.771868, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00331	0.3
NZ_JBFUFI010000016.1.region001.gbk_region_1	NZ_JBFUFI010000016.1.region001	region	1	183	FAM_00331	terpene	Unknown	terpene	terpene	NZ_JBFUFI010000016.1 Devosia sp. P2_G7 scaffold_15, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00331	0.3
NZ_JBVKGV010000086.1.region001.gbk_region_1	NZ_JBVKGV010000086.1.region001	region	1	183	FAM_00331	terpene	Unknown	terpene	terpene	NZ_JBVKGV010000086.1 MAG: Devosia sp. isolate ML34-006-05 ML34_006_NODE_5324_length_6402_cov_2.585179, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00331	0.3
NZ_JBLXGA010000004.1.region001.gbk_region_1	NZ_JBLXGA010000004.1.region001	region	1	183	FAM_00331	terpene	Unknown	terpene	terpene	NZ_JBLXGA010000004.1 MAG: Devosia sp. isolate ET04-05 T04maxbin_out.008RE.5K@4, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00331	0.3
NZ_JAFKHC010000003.1.region002.gbk_region_2	NZ_JAFKHC010000003.1.region002	region	2	183	FAM_00331	terpene	Unknown	terpene	terpene	NZ_JAFKHC010000003.1 MAG: Devosia sp. isolate SCN18_26_2_15_R2_B_67_34 SCN18_26_2_15_R2_B_scaffold_2, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00331	0.3
NZ_JAQRMY010000004.1.region001.gbk_region_1	NZ_JAQRMY010000004.1.region001	region	1	183	FAM_00331	terpene	Unknown	terpene	terpene	NZ_JAQRMY010000004.1 Devosia sp. ZB163 scaffold_3, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00331	0.3
NZ_OZ245853.1.region003.gbk_region_3	NZ_OZ245853.1.region003	region	3	183	FAM_00331	terpene	Unknown	terpene	terpene	NZ_OZ245853.1 MAG: Devosia sp. isolate 3d186a37-0bcd-4ac1-b259-f5c9590ee027 chromosome 1	Unknown	terpene_c0.3_famFAM_00331	0.3
NZ_JBFUCQ010000002.1.region001.gbk_region_1	NZ_JBFUCQ010000002.1.region001	region	1	183	FAM_00331	terpene	Unknown	terpene	terpene	NZ_JBFUCQ010000002.1 Devosia sp. P1_H9 scaffold_1, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00331	0.3
NZ_BMZE01000001.1.region001.gbk_region_1	NZ_BMZE01000001.1.region001	region	1	183	FAM_00331	terpene	Unknown	terpene	terpene	NZ_BMZE01000001.1 Devosia pacifica strain KCTC 32437 sequence1, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00331	0.3
NZ_CM147875.1.region005.gbk_region_5	NZ_CM147875.1.region005	region	5	183	FAM_00331	terpene	Unknown	terpene	terpene	NZ_CM147875.1 Devosia sp. J20-27 chromosome, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00331	0.3
NZ_JBMQPQ010000013.1.region001.gbk_region_1	NZ_JBMQPQ010000013.1.region001	region	1	183	FAM_00332	terpene	Unknown	terpene	terpene	NZ_JBMQPQ010000013.1 MAG: Devosia sp. isolate isolate1_meta_1_34 k141_587842, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00332	0.3
NZ_JAVKFR010000020.1.region001.gbk_region_1	NZ_JAVKFR010000020.1.region001	region	1	183	FAM_00332	terpene	Unknown	terpene	terpene	NZ_JAVKFR010000020.1 MAG: Devosia marina isolate F1-TOW-06 k141_70110, whole genome shotgun sequence	Unknown	terpene_c0.3_famFAM_00332	0.3
