accession	LAP	NRP-metallophore	NRPS	NRPS-like	RRE-containing	RiPP-like	T1PKS	T3PKS	acyl_amino_acids	betalactone	ectoine	hserlactone	hydrogen-cyanide	lanthipeptide-class-ii	lanthipeptide-class-iv	lassopeptide	phosphonate	redox-cofactor	terpene	thioamitides	thiopeptide
GCF_017307495.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0
GCF_017307535.1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0
GCF_018334155.1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0
GCF_019504385.1	0	0	0	0	0	1	1	0	0	0	1	3	0	0	0	0	0	0	1	0	0
GCF_021729885.1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	2	1	0
GCF_022429625.1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0
GCF_024158985.1	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0
GCF_024273195.1	0	0	0	0	0	1	0	0	1	1	1	2	1	0	0	0	0	0	1	0	0
GCF_024273205.1	0	0	0	0	0	1	0	0	1	1	1	2	1	0	0	0	0	0	1	0	0
GCF_024707105.1	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0
GCF_025452235.1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0
GCF_025809055.1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	1	0	0
GCF_027214225.1	0	0	0	0	0	1	0	0	1	1	1	2	0	0	0	0	0	0	1	0	0
GCF_028290435.1	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	1	0	0
GCF_028290625.1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0
GCF_028613635.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
GCF_028816435.1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0
GCF_029201545.1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0
GCF_029201565.1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0
GCF_030159855.1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0
GCF_030160115.1	1	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0
GCF_030177755.1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0
GCF_030285925.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
GCF_032907385.1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	1	0
GCF_037113415.1	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	1	1	0
GCF_040223715.1	0	0	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	1	0	0
GCF_040546795.1	0	0	0	0	0	0	0	2	0	1	0	4	0	0	0	0	0	0	1	0	0
GCF_040546815.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
GCF_042181575.1	0	0	0	0	1	1	0	0	0	0	1	5	0	0	0	1	0	0	1	0	0
GCF_042431865.1	1	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0
GCF_042648785.1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0
GCF_042679405.1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0
GCF_042685625.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
GCF_044987315.1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0
GCF_046614475.1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0
GCF_048261455.1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0
GCF_049354815.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
GCF_051302775.1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0
GCF_053550215.1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0
GCF_054482695.1	0	0	0	1	0	1	0	0	0	1	1	3	0	0	0	0	0	0	1	0	0
GCF_054489345.1	0	0	0	1	0	0	1	0	0	1	0	2	1	0	0	0	0	0	1	0	0
GCF_054489375.1	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0
GCF_054605195.1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0
GCF_055397495.1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
GCF_055633315.1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0
GCF_055808475.1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0
GCF_055808595.1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
GCF_056341075.1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0
GCF_056402875.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
GCF_056403495.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
GCF_056405135.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
GCF_057657195.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0
GCF_058133495.1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	0
GCF_058133665.1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	0
GCF_058806655.1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	2	0
GCF_059070485.1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0
GCF_900110945.1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
GCF_900112505.1	0	0	0	0	0	0	0	3	0	1	0	3	0	0	0	0	0	0	1	0	0
GCF_900116545.1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	2	0	0
GCF_900128975.1	0	0	0	2	0	0	1	0	1	1	1	3	1	0	0	0	0	0	1	0	0
GCF_900177655.1	0	0	0	1	0	0	0	0	0	1	1	2	0	1	0	0	0	0	2	0	0
GCF_900631955.1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0
GCF_964252795.1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	1
GCF_964252865.1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0
GCF_965229025.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0
GCF_977014175.1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0
