GCF	accession	contig	region_number	start	end	products	candidate_cluster_numbers	contig_edge	bgc_class	GBK	Record	source_file
FAM_00321	GCF_000969445.1	NZ_JZEY01000054.1	2	1201623	1222469	terpene	2	False	terpene	NZ_JZEY01000054.1.region002	NZ_JZEY01000054.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_000970435.1	NZ_LAJF01000089.1	1	127216	148062	terpene	1	False	terpene	NZ_LAJF01000089.1.region001	NZ_LAJF01000089.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_000970455.1	NZ_LAJG01000014.1	1	80525	101371	terpene	1	False	terpene	NZ_LAJG01000014.1.region001	NZ_LAJG01000014.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_000971295.1	NZ_LANJ01000011.1	1	287183	308029	terpene	1	False	terpene	NZ_LANJ01000011.1.region001	NZ_LANJ01000011.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_001402915.1	NZ_CP012945.1	4	4284736	4305576	terpene	4	False	terpene	NZ_CP012945.1.region004	NZ_CP012945.1.region004.gbk_region_4	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_001421945.1	NZ_LMLO01000018.1	1	54772	75618	terpene	1	False	terpene	NZ_LMLO01000018.1.region001	NZ_LMLO01000018.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_001424865.1	NZ_LMCR01000015.1	1	1888	22728	terpene	1	True	terpene	NZ_LMCR01000015.1.region001	NZ_LMCR01000015.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_001425235.1	NZ_LMEA01000011.1	2	263121	283961	terpene	2	False	terpene	NZ_LMEA01000011.1.region002	NZ_LMEA01000011.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_001425445.1	NZ_LMQU01000003.1	1	55078	75924	terpene	1	True	terpene	NZ_LMQU01000003.1.region001	NZ_LMQU01000003.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_001426345.1	NZ_LMEM01000001.1	1	521788	542631	terpene	1	False	terpene	NZ_LMEM01000001.1.region001	NZ_LMEM01000001.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_001427605.1	NZ_LMGZ01000021.1	1	184720	205563	terpene	1	False	terpene	NZ_LMGZ01000021.1.region001	NZ_LMGZ01000021.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_001427875.1	NZ_LMHK01000001.1	2	480720	501566	terpene	2	False	terpene	NZ_LMHK01000001.1.region002	NZ_LMHK01000001.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_001650025.1	NZ_LVVY01000070.1	1	3512	24355	terpene	1	True	terpene	NZ_LVVY01000070.1.region001	NZ_LVVY01000070.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_001899045.1	NZ_MKUY01000003.1	1	303164	324004	terpene	1	False	terpene	NZ_MKUY01000003.1.region001	NZ_MKUY01000003.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_001899065.1	NZ_MKUZ01000008.1	1	150735	171572	terpene	1	False	terpene	NZ_MKUZ01000008.1.region001	NZ_MKUZ01000008.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_001899075.1	NZ_MKVA01000005.1	2	610230	631070	terpene	2	False	terpene	NZ_MKVA01000005.1.region002	NZ_MKVA01000005.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_001899085.1	NZ_MKVB01000001.1	1	15827	36667	terpene	1	False	terpene	NZ_MKVB01000001.1.region001	NZ_MKVB01000001.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_002949085.1	NZ_CP026747.1	5	3769090	3789936	terpene	5	False	terpene	NZ_CP026747.1.region005	NZ_CP026747.1.region005.gbk_region_5	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_003056345.1	NZ_PYWB01000014.1	1	41858	62704	terpene	1	False	terpene	NZ_PYWB01000014.1.region001	NZ_PYWB01000014.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_003056355.1	NZ_PYVW01000009.1	1	44556	65402	terpene	1	False	terpene	NZ_PYVW01000009.1.region001	NZ_PYVW01000009.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_003056405.1	NZ_PYVZ01000006.1	1	110793	131639	terpene	1	False	terpene	NZ_PYVZ01000006.1.region001	NZ_PYVZ01000006.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_004005995.1	NZ_CP034767.1	2	1172753	1193617	terpene	2	False	terpene	NZ_CP034767.1.region002	NZ_CP034767.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_005222805.1	NZ_STGC01000005.1	3	1009838	1030684	terpene	3	False	terpene	NZ_STGC01000005.1.region003	NZ_STGC01000005.1.region003.gbk_region_3	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_007859655.1	NZ_CP042304.1	2	920369	941212	terpene	2	False	terpene	NZ_CP042304.1.region002	NZ_CP042304.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_009758415.1	NZ_WQRF01000001.1	3	670082	690928	terpene	3	False	terpene	NZ_WQRF01000001.1.region003	NZ_WQRF01000001.1.region003.gbk_region_3	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_012847305.1	NZ_JABBDZ010000001.1	1	506901	527747	terpene	1	False	terpene	NZ_JABBDZ010000001.1.region001	NZ_JABBDZ010000001.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_013185955.1	NZ_JABAOM010000001.1	1	621516	642380	terpene	1	False	terpene	NZ_JABAOM010000001.1.region001	NZ_JABAOM010000001.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_013185965.1	NZ_JABAOL010000001.1	3	1748483	1769347	terpene	3	False	terpene	NZ_JABAOL010000001.1.region003	NZ_JABAOL010000001.1.region003.gbk_region_3	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_014127105.1	NZ_CP059902.1	2	1417867	1438713	terpene	2	False	terpene	NZ_CP059902.1.region002	NZ_CP059902.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_014197055.1	NZ_JACIEW010000001.1	1	300909	321755	terpene	1	False	terpene	NZ_JACIEW010000001.1.region001	NZ_JACIEW010000001.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_014652635.1	NZ_BMZE01000001.1	1	178890	199739	terpene	1	False	terpene	NZ_BMZE01000001.1.region001	NZ_BMZE01000001.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_014837245.1	NZ_JACYFU010000001.1	2	1015650	1036496	terpene	2	False	terpene	NZ_JACYFU010000001.1.region002	NZ_JACYFU010000001.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_014926585.1	NZ_CP045422.1	7	3742604	3763450	terpene	9	False	terpene	NZ_CP045422.1.region007	NZ_CP045422.1.region007.gbk_region_7	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_015158295.1	NZ_JACDXV010000001.1	1	285026	305869	terpene	1	False	terpene	NZ_JACDXV010000001.1.region001	NZ_JACDXV010000001.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_015234425.1	NZ_JADGNE010000014.1	1	0	12188	terpene	1	True	terpene	NZ_JADGNE010000014.1.region001	NZ_JADGNE010000014.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_016411825.1	NZ_JAEKMH010000002.1	1	1101584	1122430	terpene	1	False	terpene	NZ_JAEKMH010000002.1.region001	NZ_JAEKMH010000002.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_016457235.1	NZ_JAEMEB010000004.1	1	211737	232583	terpene	1	False	terpene	NZ_JAEMEB010000004.1.region001	NZ_JAEMEB010000004.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_016461625.1	NZ_JAEMNZ010000001.1	1	383154	404000	terpene	1	False	terpene	NZ_JAEMNZ010000001.1.region001	NZ_JAEMNZ010000001.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_016595685.1	NZ_JAENGO010000007.1	1	169229	190075	terpene	1	False	terpene	NZ_JAENGO010000007.1.region001	NZ_JAENGO010000007.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_016698645.1	NZ_CP068047.1	3	2534983	2555829	terpene	3	False	terpene	NZ_CP068047.1.region003	NZ_CP068047.1.region003.gbk_region_3	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_016698665.1	NZ_CP068046.1	3	1481117	1501963	terpene	3	False	terpene	NZ_CP068046.1.region003	NZ_CP068046.1.region003.gbk_region_3	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_017307475.1	NZ_JAFKHC010000003.1	2	567749	588589	terpene	2	False	terpene	NZ_JAFKHC010000003.1.region002	NZ_JAFKHC010000003.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_017307495.1	NZ_JAFKHE010000017.1	1	46390	67239	terpene	1	False	terpene	NZ_JAFKHE010000017.1.region001	NZ_JAFKHE010000017.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_017307535.1	NZ_JAFKHA010000009.1	1	107501	128341	terpene	1	False	terpene	NZ_JAFKHA010000009.1.region001	NZ_JAFKHA010000009.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_018334155.1	NZ_JAGXTP010000001.1	3	1692382	1713228	terpene	3	False	terpene	NZ_JAGXTP010000001.1.region003	NZ_JAGXTP010000001.1.region003.gbk_region_3	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_019504385.1	NZ_CP080590.1	4	1457061	1477907	terpene	4	False	terpene	NZ_CP080590.1.region004	NZ_CP080590.1.region004.gbk_region_4	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_021729885.1	NZ_CP063401.1	1	277059	297905	terpene	1	False	terpene	NZ_CP063401.1.region001	NZ_CP063401.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_022429625.1	NZ_CP092483.1	3	1776964	1797810	terpene	3	False	terpene	NZ_CP092483.1.region003	NZ_CP092483.1.region003.gbk_region_3	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_024158985.1	NZ_JAMYXP010000001.1	2	623380	644226	terpene	2	False	terpene	NZ_JAMYXP010000001.1.region002	NZ_JAMYXP010000001.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_024273195.1	NZ_JAMZCU010000001.1	1	252660	273503	terpene	1	False	terpene	NZ_JAMZCU010000001.1.region001	NZ_JAMZCU010000001.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_024273205.1	NZ_JAMWDU010000001.1	1	526355	547198	terpene	1	False	terpene	NZ_JAMWDU010000001.1.region001	NZ_JAMWDU010000001.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_024707105.1	NZ_JANQAJ010000011.1	1	424968	445811	terpene	1	False	terpene	NZ_JANQAJ010000011.1.region001	NZ_JANQAJ010000011.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_025452235.1	NZ_CP104965.1	4	3669677	3690520	terpene	4	False	terpene	NZ_CP104965.1.region004	NZ_CP104965.1.region004.gbk_region_4	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_025809055.1	NZ_CP075529.1	1	463898	484747	terpene	1	False	terpene	NZ_CP075529.1.region001	NZ_CP075529.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_027214225.1	NZ_JAPWHK010000004.1	1	321037	341883	terpene	1	False	terpene	NZ_JAPWHK010000004.1.region001	NZ_JAPWHK010000004.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_028290435.1	NZ_JAQGJV010000003.1	1	67284	88127	terpene	1	False	terpene	NZ_JAQGJV010000003.1.region001	NZ_JAQGJV010000003.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_028290625.1	NZ_JAQGJM010000021.1	1	114390	135233	terpene	1	False	terpene	NZ_JAQGJM010000021.1.region001	NZ_JAQGJM010000021.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_028613635.1	NZ_JAQRMY010000004.1	1	366271	387108	terpene	1	False	terpene	NZ_JAQRMY010000004.1.region001	NZ_JAQRMY010000004.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_028816435.1	NZ_CP118245.1	5	2736744	2757590	terpene	5	False	terpene	NZ_CP118245.1.region005	NZ_CP118245.1.region005.gbk_region_5	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_029201545.1	NZ_CP104007.1	3	1987665	2008511	terpene	3	False	terpene	NZ_CP104007.1.region003	NZ_CP104007.1.region003.gbk_region_3	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_029201565.1	NZ_CP104002.1	2	2081510	2102356	terpene	2	False	terpene	NZ_CP104002.1.region002	NZ_CP104002.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_030159855.1	NZ_BSNG01000001.1	3	1765519	1786362	terpene	3	False	terpene	NZ_BSNG01000001.1.region003	NZ_BSNG01000001.1.region003.gbk_region_3	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_030160115.1	NZ_BSNS01000024.1	1	258688	279534	terpene	1	False	terpene	NZ_BSNS01000024.1.region001	NZ_BSNS01000024.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_030177755.1	NZ_CP126539.1	2	2369713	2390562	terpene	2	False	terpene	NZ_CP126539.1.region002	NZ_CP126539.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_030285925.1	NZ_CP127251.1	1	1388169	1409012	terpene	1	False	terpene	NZ_CP127251.1.region001	NZ_CP127251.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_032907385.1	NZ_JAIMBX010000001.1	2	1110120	1130966	terpene	2	False	terpene	NZ_JAIMBX010000001.1.region002	NZ_JAIMBX010000001.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_037113415.1	NZ_CP146608.1	4	1518497	1539343	terpene	4	False	terpene	NZ_CP146608.1.region004	NZ_CP146608.1.region004.gbk_region_4	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_040223715.1	NZ_JAVKFR010000020.1	1	90075	110921	terpene	1	False	terpene	NZ_JAVKFR010000020.1.region001	NZ_JAVKFR010000020.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_040546795.1	NZ_JBEPOL010000001.1	1	129045	149888	terpene	1	False	terpene	NZ_JBEPOL010000001.1.region001	NZ_JBEPOL010000001.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_040546815.1	NZ_JBEPOO010000001.1	2	1603915	1624764	terpene	2	False	terpene	NZ_JBEPOO010000001.1.region002	NZ_JBEPOO010000001.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_042181575.1	NZ_CP170082.1	5	2571001	2591847	terpene	7	False	terpene	NZ_CP170082.1.region005	NZ_CP170082.1.region005.gbk_region_5	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_042431865.1	NZ_JBHLYO010000015.1	1	335369	356215	terpene	1	False	terpene	NZ_JBHLYO010000015.1.region001	NZ_JBHLYO010000015.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_042679405.1	NZ_JBHTMH010000001.1	2	626880	647720	terpene	2	False	terpene	NZ_JBHTMH010000001.1.region002	NZ_JBHTMH010000001.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
