accession	contig	region_number	start	end	products	n_candidate_clusters	candidate_cluster_numbers	contig_edge
GCF_001425235.1	NZ_LMEA01000011.1	1	80660	102549	thioamitides	1	1	False
GCF_001425235.1	NZ_LMEA01000011.1	2	263121	283961	terpene	1	2	False
GCF_001425235.1	NZ_LMEA01000012.1	1	279378	299648	RRE-containing	1	1	False
GCF_001425235.1	NZ_LMEA01000012.1	2	479410	520493	T3PKS	1	2	False
GCF_001425445.1	NZ_LMQU01000003.1	1	55078	75924	terpene	1	1	True
GCF_001425445.1	NZ_LMQU01000010.1	1	387401	448178	acyl_amino_acids	1	1	False
GCF_001425445.1	NZ_LMQU01000011.1	1	117478	137979	hserlactone	1	1	False
GCF_001425445.1	NZ_LMQU01000011.1	2	215834	237621	thioamitides	1	2	False
GCF_001425445.1	NZ_LMQU01000013.1	1	152153	183475	betalactone	1	1	False
GCF_001425445.1	NZ_LMQU01000014.1	1	147756	168404	hserlactone	1	1	False
GCF_001426345.1	NZ_LMEM01000001.1	1	521788	542631	terpene	1	1	False
GCF_001426345.1	NZ_LMEM01000009.1	1	70681	102202	betalactone	1	1	False
GCF_001426345.1	NZ_LMEM01000010.1	1	328684	349437	hserlactone	1	1	False
GCF_001426345.1	NZ_LMEM01000013.1	1	127145	147799	hserlactone	1	1	False
GCF_001426345.1	NZ_LMEM01000015.1	1	30834	43523	hydrogen-cyanide	1	1	False
GCF_001427605.1	NZ_LMGZ01000004.1	1	53495	66184	hydrogen-cyanide	1	1	False
GCF_001427605.1	NZ_LMGZ01000018.1	1	43272	74643	betalactone	1	1	False
GCF_001427605.1	NZ_LMGZ01000019.1	1	333209	353965	hserlactone	1	1	True
GCF_001427605.1	NZ_LMGZ01000021.1	1	184720	205563	terpene	1	1	False
GCF_001427605.1	NZ_LMGZ01000022.1	1	233734	254388	hserlactone	1	1	False
GCF_001427605.1	NZ_LMGZ01000023.1	1	7687	28143	hserlactone	1	1	True
GCF_001427875.1	NZ_LMHK01000001.1	1	276286	307635	betalactone	1	1	False
GCF_001427875.1	NZ_LMHK01000001.1	2	480720	501566	terpene	1	2	False
GCF_001427875.1	NZ_LMHK01000002.1	1	963747	984206	hserlactone	1	1	False
GCF_001427875.1	NZ_LMHK01000003.1	1	411946	432591	hserlactone	1	1	False
GCF_001650025.1	NZ_LVVY01000070.1	1	3512	24355	terpene	1	1	True
GCF_001650025.1	NZ_LVVY01000098.1	1	0	20309	hserlactone	1	1	True
GCF_001899045.1	NZ_MKUY01000003.1	1	303164	324004	terpene	1	1	False
GCF_001899045.1	NZ_MKUY01000003.1	2	586435	618857	betalactone	1	2	False
GCF_001899045.1	NZ_MKUY01000004.1	1	185669	206128	hserlactone	1	1	False
GCF_001899045.1	NZ_MKUY01000005.1	1	538239	560119	thioamitides	1	1	False
GCF_001899065.1	NZ_MKUZ01000008.1	1	150735	171572	terpene	1	1	False
GCF_001899065.1	NZ_MKUZ01000013.1	1	97617	118079	hserlactone	1	1	False
GCF_001899065.1	NZ_MKUZ01000030.1	1	167304	189256	thioamitides	1	1	False
GCF_001899075.1	NZ_MKVA01000002.1	1	39594	60344	hserlactone	1	1	False
GCF_001899075.1	NZ_MKVA01000003.1	1	206341	219218	hydrogen-cyanide	1	1	False
GCF_001899075.1	NZ_MKVA01000003.1	2	334934	355600	hserlactone	1	2	False
GCF_001899075.1	NZ_MKVA01000005.1	1	393147	425393	betalactone	1	1	False
GCF_001899075.1	NZ_MKVA01000005.1	2	610230	631070	terpene	1	2	False
GCF_001899075.1	NZ_MKVA01000006.1	1	171329	184148	hydrogen-cyanide	1	1	False
GCF_001899085.1	NZ_MKVB01000001.1	1	15827	36667	terpene	1	1	False
GCF_001899085.1	NZ_MKVB01000001.1	2	549507	571393	thioamitides	1	2	False
GCF_001899085.1	NZ_MKVB01000002.1	1	75433	97720	redox-cofactor	1	1	False
GCF_001899085.1	NZ_MKVB01000002.1	2	340157	361968	thioamitides	1	2	False
GCF_001899085.1	NZ_MKVB01000003.1	1	105519	129139	LAP	1	1	False
GCF_001899085.1	NZ_MKVB01000006.1	1	1105086	1125356	RRE-containing	1	1	False
GCF_002949085.1	NZ_CP026747.1	1	910125	920983	RiPP-like	1	1	False
GCF_002949085.1	NZ_CP026747.1	2	1096093	1116744	hserlactone	1	2	False
GCF_002949085.1	NZ_CP026747.1	3	1898742	1919489	hserlactone	1	3	False
GCF_002949085.1	NZ_CP026747.1	4	3076148	3107146	betalactone	1	4	False
GCF_002949085.1	NZ_CP026747.1	5	3769090	3789936	terpene	1	5	False
GCF_002949085.1	NZ_CP026747.1	6	3970279	3980672	ectoine	1	6	False
GCF_003056345.1	NZ_PYWB01000001.1	1	66920	126677	NRPS-like;T1PKS	3	1;2;3	False
GCF_003056345.1	NZ_PYWB01000014.1	1	41858	62704	terpene	1	1	False
GCF_003056345.1	NZ_PYWB01000002.1	1	358147	381748	terpene	1	1	False
GCF_003056345.1	NZ_PYWB01000003.1	1	226883	257483	betalactone	1	1	False
GCF_003056345.1	NZ_PYWB01000008.1	1	15512	35968	hserlactone	1	1	False
GCF_003056355.1	NZ_PYVW01000001.1	1	422682	444978	redox-cofactor	1	1	False
GCF_003056355.1	NZ_PYVW01000012.1	1	26556	47312	hserlactone	1	1	False
GCF_003056355.1	NZ_PYVW01000018.1	1	33318	65232	betalactone	1	1	False
GCF_003056355.1	NZ_PYVW01000002.1	1	157753	178515	hserlactone	1	1	False
GCF_003056355.1	NZ_PYVW01000009.1	1	44556	65402	terpene	1	1	False
GCF_003056405.1	NZ_PYVZ01000001.1	1	0	14655	hserlactone	1	1	True
GCF_003056405.1	NZ_PYVZ01000013.1	1	115472	126330	RiPP-like	1	1	True
GCF_003056405.1	NZ_PYVZ01000019.1	1	0	26524	betalactone	1	1	True
GCF_003056405.1	NZ_PYVZ01000006.1	1	110793	131639	terpene	1	1	False
GCF_003056405.1	NZ_PYVZ01000007.1	1	66128	76521	ectoine	1	1	False
GCF_003056405.1	NZ_PYVZ01000009.1	1	13175	33922	hserlactone	1	1	False
GCF_004005995.1	NZ_CP034767.1	1	557793	580394	RRE-containing;lassopeptide	1	1	False
GCF_004005995.1	NZ_CP034767.1	2	1172753	1193617	terpene	1	2	False
GCF_004005995.1	NZ_CP034767.1	3	2688608	2709118	hserlactone	1	3	False
GCF_004005995.1	NZ_CP034767.1	4	2859400	2883133	terpene	1	4	False
GCF_004005995.1	NZ_CP034767.1	5	3657800	3718568	acyl_amino_acids	1	5	False
GCF_004005995.1	NZ_CP034767.1	6	3800032	3812948	hydrogen-cyanide	1	6	False
GCF_005222805.1	NZ_STGC01000005.1	1	42411	53281	RiPP-like	1	1	False
GCF_005222805.1	NZ_STGC01000005.1	2	421941	462994	T3PKS	1	2	False
GCF_005222805.1	NZ_STGC01000005.1	3	1009838	1030684	terpene	1	3	False
GCF_005222805.1	NZ_STGC01000005.1	4	1805731	1836626	betalactone	1	4	False
GCF_005222805.1	NZ_STGC01000005.1	5	2120937	2131807	RiPP-like	1	5	False
GCF_005222805.1	NZ_STGC01000005.1	6	2472524	2492980	hserlactone	1	6	False
GCF_005222805.1	NZ_STGC01000002.1	1	723815	744568	hserlactone	1	1	False
GCF_007859655.1	NZ_CP042304.1	1	534875	547555	hydrogen-cyanide	1	1	False
GCF_007859655.1	NZ_CP042304.1	2	920369	941212	terpene	1	2	False
GCF_007859655.1	NZ_CP042304.1	3	1767004	1800266	betalactone	1	3	False
GCF_007859655.1	NZ_CP042304.1	4	2337414	2357873	hserlactone	1	4	False
GCF_007859655.1	NZ_CP042304.1	5	3851472	3894913	T1PKS	1	5	False
GCF_007859655.1	NZ_CP042304.1	6	4355838	4376492	hserlactone	1	6	False
GCF_009758415.1	NZ_WQRF01000010.1	1	39799	50657	RiPP-like	1	1	False
GCF_009758415.1	NZ_WQRF01000001.1	1	6760	17630	RiPP-like	1	1	True
GCF_009758415.1	NZ_WQRF01000001.1	2	412304	422697	ectoine	1	2	False
GCF_009758415.1	NZ_WQRF01000001.1	3	670082	690928	terpene	1	3	False
GCF_009758415.1	NZ_WQRF01000001.1	4	1310005	1340014	betalactone	1	4	False
GCF_009758415.1	NZ_WQRF01000002.1	1	540245	560992	hserlactone	1	1	False
GCF_009758415.1	NZ_WQRF01000003.1	1	385532	405991	hserlactone	1	1	False
GCF_009758415.1	NZ_WQRF01000004.1	1	0	14663	hserlactone	1	1	True
GCF_012847305.1	NZ_JABBDZ010000019.1	1	34610	55030	RRE-containing	1	1	False
GCF_012847305.1	NZ_JABBDZ010000001.1	1	506901	527747	terpene	1	1	False
GCF_012847305.1	NZ_JABBDZ010000002.1	1	7889	28309	RRE-containing	1	1	False
GCF_012847305.1	NZ_JABBDZ010000002.1	2	311580	332330	hserlactone	1	2	True
GCF_012847305.1	NZ_JABBDZ010000004.1	1	100993	111986	RiPP-like	1	1	False
GCF_012847305.1	NZ_JABBDZ010000005.1	1	132218	163335	betalactone	1	1	False
GCF_012847305.1	NZ_JABBDZ010000006.1	1	84655	105111	hserlactone	1	1	False
GCF_013185955.1	NZ_JABAOM010000001.1	1	621516	642380	terpene	1	1	False
GCF_013185955.1	NZ_JABAOM010000002.1	1	679982	700444	hserlactone	1	1	False
GCF_013185955.1	NZ_JABAOM010000002.1	2	850622	874217	terpene	1	2	False
GCF_013185955.1	NZ_JABAOM010000003.1	1	161038	221806	acyl_amino_acids	1	1	False
GCF_013185955.1	NZ_JABAOM010000005.1	1	410002	432603	RRE-containing;lassopeptide	1	1	False
GCF_013185965.1	NZ_JABAOL010000001.1	1	0	40339	acyl_amino_acids	1	1	True
GCF_013185965.1	NZ_JABAOL010000001.1	2	1080647	1103248	RRE-containing;lassopeptide	1	2	False
GCF_013185965.1	NZ_JABAOL010000001.1	3	1748483	1769347	terpene	1	3	False
GCF_013185965.1	NZ_JABAOL010000001.1	4	3148882	3169362	hserlactone	1	4	False
GCF_013185965.1	NZ_JABAOL010000001.1	5	3319595	3343190	terpene	1	5	False
GCF_014127105.1	NZ_CP059902.1	1	63740	84160	RRE-containing	1	1	False
GCF_014127105.1	NZ_CP059902.1	2	1417867	1438713	terpene	1	2	False
GCF_014127105.1	NZ_CP059902.1	3	2389517	2420645	betalactone	1	3	False
GCF_014127105.1	NZ_CP059902.1	4	3008609	3029065	hserlactone	1	4	False
GCF_014127105.1	NZ_CP059902.1	5	3535904	3556654	hserlactone	1	5	False
GCF_014197055.1	NZ_JACIEW010000001.1	1	300909	321755	terpene	1	1	False
GCF_014197055.1	NZ_JACIEW010000001.1	2	480976	491369	ectoine	1	2	False
GCF_014197055.1	NZ_JACIEW010000005.1	1	236006	256384	hserlactone	1	1	False
GCF_014197055.1	NZ_JACIEW010000006.1	1	0	14152	hserlactone	1	1	True
GCF_014197055.1	NZ_JACIEW010000009.1	1	16334	64593	T1PKS	1	1	False
GCF_014197055.1	NZ_JACIEW010000012.1	1	45582	56440	RiPP-like	1	1	True
GCF_014652635.1	NZ_BMZE01000001.1	1	178890	199739	terpene	1	1	False
GCF_014652635.1	NZ_BMZE01000001.1	2	996555	1007425	RiPP-like	1	2	False
GCF_014652635.1	NZ_BMZE01000002.1	1	554556	575309	hserlactone	1	1	False
GCF_014652635.1	NZ_BMZE01000002.1	2	824555	865734	T3PKS	1	2	False
GCF_014652635.1	NZ_BMZE01000004.1	1	280744	291149	ectoine	1	1	False
GCF_014837245.1	NZ_JACYFU010000001.1	1	382988	414919	betalactone	1	1	False
GCF_014837245.1	NZ_JACYFU010000001.1	2	1015650	1036496	terpene	1	2	False
GCF_014837245.1	NZ_JACYFU010000003.1	1	436196	480294	T3PKS;hserlactone	3	1;2;3	False
GCF_014837245.1	NZ_JACYFU010000004.1	1	262785	273178	ectoine	1	1	False
GCF_014837245.1	NZ_JACYFU010000004.1	2	291148	311607	hserlactone	1	2	False
GCF_014926585.1	NZ_CP045422.1	1	307087	320048	hydrogen-cyanide	1	1	False
GCF_014926585.1	NZ_CP045422.1	2	1292867	1303737	RiPP-like	1	2	False
GCF_014926585.1	NZ_CP045422.1	3	2441836	2501126	hserlactone;T3PKS	3	3;4;5	False
GCF_014926585.1	NZ_CP045422.1	4	3088560	3119930	betalactone	1	6	False
GCF_014926585.1	NZ_CP045422.1	5	3333854	3344247	ectoine	1	7	False
GCF_014926585.1	NZ_CP045422.1	6	3392789	3433857	T3PKS	1	8	False
GCF_014926585.1	NZ_CP045422.1	7	3742604	3763450	terpene	1	9	False
GCF_015158295.1	NZ_JACDXV010000001.1	1	285026	305869	terpene	1	1	False
GCF_015158295.1	NZ_JACDXV010000002.1	1	81050	141812	acyl_amino_acids	1	1	False
GCF_015158295.1	NZ_JACDXV010000002.1	2	293923	345198	T1PKS;NRPS-like	3	2;3;4	False
GCF_015158295.1	NZ_JACDXV010000002.1	3	625790	646249	hserlactone	1	5	False
GCF_015158295.1	NZ_JACDXV010000007.1	1	138225	158870	hserlactone	1	1	True
GCF_015234425.1	NZ_JADGNE010000014.1	1	0	12188	terpene	1	1	True
GCF_015234425.1	NZ_JADGNE010000026.1	1	4231	24690	hserlactone	1	1	True
GCF_015234425.1	NZ_JADGNE010000033.1	1	44551	65760	RRE-containing	1	1	False
GCF_015234425.1	NZ_JADGNE010000044.1	1	123232	146821	terpene	1	1	False
GCF_016411825.1	NZ_JAEKMH010000002.1	1	1101584	1122430	terpene	1	1	False
GCF_016411825.1	NZ_JAEKMH010000003.1	1	533715	546602	hserlactone	1	1	True
GCF_016411825.1	NZ_JAEKMH010000004.1	1	351347	372100	hserlactone	1	1	False
GCF_016457235.1	NZ_JAEMEB010000015.1	1	77229	97979	hserlactone	1	1	True
GCF_016457235.1	NZ_JAEMEB010000016.1	1	6704	27160	hserlactone	1	1	True
GCF_016457235.1	NZ_JAEMEB010000003.1	1	87968	119096	betalactone	1	1	False
GCF_016457235.1	NZ_JAEMEB010000004.1	1	211737	232583	terpene	1	1	False
GCF_016457235.1	NZ_JAEMEB010000005.1	1	210064	230484	RRE-containing	1	1	False
GCF_016461625.1	NZ_JAEMNZ010000001.1	1	383154	404000	terpene	1	1	False
GCF_016461625.1	NZ_JAEMNZ010000020.1	1	0	11814	hserlactone	1	1	True
GCF_016461625.1	NZ_JAEMNZ010000002.1	1	233542	264660	betalactone	1	1	False
GCF_016461625.1	NZ_JAEMNZ010000003.1	1	293876	314296	RRE-containing	1	1	False
GCF_016461625.1	NZ_JAEMNZ010000007.1	1	25642	46098	hserlactone	1	1	False
GCF_016595685.1	NZ_JAENGO010000001.1	1	867877	898995	betalactone	1	1	False
GCF_016595685.1	NZ_JAENGO010000004.1	1	195426	215882	hserlactone	1	1	False
GCF_016595685.1	NZ_JAENGO010000005.1	1	4304	25054	hserlactone	1	1	True
GCF_016595685.1	NZ_JAENGO010000005.1	2	315514	335934	RRE-containing	1	2	False
GCF_016595685.1	NZ_JAENGO010000007.1	1	169229	190075	terpene	1	1	False
GCF_016698645.1	NZ_CP068047.1	1	1246684	1267140	hserlactone	1	1	False
GCF_016698645.1	NZ_CP068047.1	2	1871306	1903662	betalactone	1	2	False
GCF_016698645.1	NZ_CP068047.1	3	2534983	2555829	terpene	1	3	False
GCF_016698665.1	NZ_CP068046.1	1	204102	224561	hserlactone	1	1	False
GCF_016698665.1	NZ_CP068046.1	2	844746	876907	betalactone	1	2	False
GCF_016698665.1	NZ_CP068046.1	3	1481117	1501963	terpene	1	3	False
GCF_016698665.1	NZ_CP068046.1	4	2600781	2624370	terpene	1	4	False
GCF_016698665.1	NZ_CP068046.1	5	3209909	3230656	hserlactone	1	5	False
GCF_017307475.1	NZ_JAFKHC010000005.1	1	206424	219301	hydrogen-cyanide	1	1	False
GCF_017307475.1	NZ_JAFKHC010000005.1	2	335017	355683	hserlactone	1	2	False
GCF_017307475.1	NZ_JAFKHC010000003.1	1	350666	382912	betalactone	1	1	False
GCF_017307475.1	NZ_JAFKHC010000003.1	2	567749	588589	terpene	1	2	False
GCF_017307475.1	NZ_JAFKHC010000009.1	1	195545	208364	hydrogen-cyanide	1	1	False
GCF_017307475.1	NZ_JAFKHC010000010.1	1	39835	60585	hserlactone	1	1	False
GCF_017307495.1	NZ_JAFKHE010000027.1	1	43799	66089	redox-cofactor	1	1	False
GCF_017307495.1	NZ_JAFKHE010000031.1	1	5550	27451	thioamitides	1	1	True
GCF_017307495.1	NZ_JAFKHE010000012.1	1	507405	536101	betalactone	1	1	False
GCF_017307495.1	NZ_JAFKHE010000017.1	1	46390	67239	terpene	1	1	False
GCF_017307535.1	NZ_JAFKHA010000008.1	1	1106749	1127019	RRE-containing	1	1	False
GCF_017307535.1	NZ_JAFKHA010000010.1	1	507782	531402	LAP	1	1	False
GCF_017307535.1	NZ_JAFKHA010000012.1	1	75598	97885	redox-cofactor	1	1	False
GCF_017307535.1	NZ_JAFKHA010000012.1	2	340375	362186	thioamitides	1	2	False
GCF_017307535.1	NZ_JAFKHA010000009.1	1	107501	128341	terpene	1	1	False
GCF_017307535.1	NZ_JAFKHA010000009.1	2	641762	663648	thioamitides	1	2	False
GCF_018334155.1	NZ_JAGXTP010000001.1	1	223322	243778	hserlactone	1	1	False
GCF_018334155.1	NZ_JAGXTP010000001.1	2	832553	863409	betalactone	1	2	False
GCF_018334155.1	NZ_JAGXTP010000001.1	3	1692382	1713228	terpene	1	3	False
GCF_018334155.1	NZ_JAGXTP010000001.1	4	2350722	2361115	ectoine	1	4	False
GCF_018334155.1	NZ_JAGXTP010000002.1	1	449032	456624	RiPP-like	1	1	True
GCF_018334155.1	NZ_JAGXTP010000003.1	1	265171	325954	acyl_amino_acids	1	1	False
GCF_019504385.1	NZ_CP080590.1	1	263087	283741	hserlactone	1	1	False
GCF_019504385.1	NZ_CP080590.1	2	461524	472382	RiPP-like	1	2	False
GCF_019504385.1	NZ_CP080590.1	3	900346	910739	ectoine	1	3	False
GCF_019504385.1	NZ_CP080590.1	4	1457061	1477907	terpene	1	4	False
GCF_019504385.1	NZ_CP080590.1	5	3213176	3261372	T1PKS	1	5	False
GCF_019504385.1	NZ_CP080590.1	6	3357028	3377487	hserlactone	1	6	False
GCF_019504385.1	NZ_CP080590.1	7	4007508	4028252	hserlactone	1	7	False
GCF_021729885.1	NZ_CP063401.1	1	277059	297905	terpene	1	1	False
GCF_021729885.1	NZ_CP063401.1	2	1679036	1699492	hserlactone	1	2	False
GCF_021729885.1	NZ_CP063401.1	3	1932300	1954910	lassopeptide;RRE-containing	3	3;4;5	False
GCF_021729885.1	NZ_CP063401.1	4	2522483	2583260	acyl_amino_acids	1	6	False
GCF_021729885.1	NZ_CP063401.1	5	2927071	2950672	terpene	1	7	False
GCF_021729885.1	NZ_CP063401.1	6	3420767	3442638	thioamitides	1	8	False
GCF_022429625.1	NZ_CP092483.1	1	554197	576804	RRE-containing;lassopeptide	1	1	False
GCF_022429625.1	NZ_CP092483.1	2	727943	748564	hserlactone	1	2	False
GCF_022429625.1	NZ_CP092483.1	3	1776964	1797810	terpene	1	3	False
GCF_022429625.1	NZ_CP092483.1	4	2654136	2686518	betalactone	1	4	False
GCF_022429625.1	NZ_CP092483.1	5	3284825	3305260	hserlactone	1	5	False
GCF_024158985.1	NZ_JAMYXP010000001.1	1	453838	464231	ectoine	1	1	False
GCF_024158985.1	NZ_JAMYXP010000001.1	2	623380	644226	terpene	1	2	False
GCF_024158985.1	NZ_JAMYXP010000013.1	1	16213	64472	T1PKS	1	1	False
GCF_024158985.1	NZ_JAMYXP010000014.1	1	6379	17237	RiPP-like	1	1	True
GCF_024158985.1	NZ_JAMYXP010000004.1	1	235956	256334	hserlactone	1	1	False
GCF_024158985.1	NZ_JAMYXP010000006.1	1	0	14102	hserlactone	1	1	True
GCF_024273195.1	NZ_JAMZCU010000001.1	1	252660	273503	terpene	1	1	False
GCF_024273195.1	NZ_JAMZCU010000002.1	1	168914	229700	acyl_amino_acids	1	1	False
GCF_024273195.1	NZ_JAMZCU010000002.1	2	567588	580346	hydrogen-cyanide	1	2	False
GCF_024273195.1	NZ_JAMZCU010000003.1	1	139901	171719	betalactone	1	1	False
GCF_024273195.1	NZ_JAMZCU010000005.1	1	116008	136467	hserlactone	1	1	False
GCF_024273195.1	NZ_JAMZCU010000006.1	1	220257	230650	ectoine	1	1	False
GCF_024273195.1	NZ_JAMZCU010000007.1	1	799	21459	hserlactone	1	1	True
GCF_024273195.1	NZ_JAMZCU010000008.1	1	0	10126	RiPP-like	1	1	True
GCF_024273205.1	NZ_JAMWDU010000001.1	1	526355	547198	terpene	1	1	False
GCF_024273205.1	NZ_JAMWDU010000002.1	1	186778	199536	hydrogen-cyanide	1	1	False
GCF_024273205.1	NZ_JAMWDU010000002.1	2	537362	598148	acyl_amino_acids	1	2	False
GCF_024273205.1	NZ_JAMWDU010000003.1	1	139957	171775	betalactone	1	1	False
GCF_024273205.1	NZ_JAMWDU010000005.1	1	116023	136482	hserlactone	1	1	False
GCF_024273205.1	NZ_JAMWDU010000006.1	1	218042	228900	RiPP-like	1	1	False
GCF_024273205.1	NZ_JAMWDU010000007.1	1	855	21515	hserlactone	1	1	True
GCF_024273205.1	NZ_JAMWDU010000009.1	1	43284	53677	ectoine	1	1	True
GCF_024707105.1	NZ_JANQAJ010000013.1	1	246354	278226	betalactone	1	1	False
GCF_024707105.1	NZ_JANQAJ010000011.1	1	424968	445811	terpene	1	1	False
GCF_024707105.1	NZ_JANQAJ010000011.1	2	774365	787052	hydrogen-cyanide	1	2	False
GCF_024707105.1	NZ_JANQAJ010000005.1	1	314162	334816	hserlactone	1	1	False
GCF_024707105.1	NZ_JANQAJ010000006.1	1	1035905	1056529	hserlactone	1	1	False
GCF_025452235.1	NZ_CP104965.1	1	1948720	1970977	redox-cofactor	1	1	False
GCF_025452235.1	NZ_CP104965.1	2	2115343	2135799	hserlactone	1	2	False
GCF_025452235.1	NZ_CP104965.1	3	2781270	2812941	betalactone	1	3	False
GCF_025452235.1	NZ_CP104965.1	4	3669677	3690520	terpene	1	4	False
GCF_025452235.1	NZ_CP104964.1	1	480398	501058	hserlactone	1	1	False
GCF_025809055.1	NZ_CP075529.1	1	463898	484747	terpene	1	1	False
GCF_025809055.1	NZ_CP075529.1	2	855611	892195	phosphonate	1	2	False
GCF_025809055.1	NZ_CP075529.1	3	1149058	1181569	betalactone	1	3	False
GCF_025809055.1	NZ_CP075529.1	4	1919791	1940250	hserlactone	1	4	False
GCF_025809055.1	NZ_CP075529.1	5	3128536	3149184	hserlactone	1	5	False
GCF_027214225.1	NZ_JAPWHK010000012.1	1	89566	110184	hserlactone	1	1	False
GCF_027214225.1	NZ_JAPWHK010000001.1	1	333491	343884	ectoine	1	1	False
GCF_027214225.1	NZ_JAPWHK010000003.1	1	290086	320941	betalactone	1	1	False
GCF_027214225.1	NZ_JAPWHK010000004.1	1	321037	341883	terpene	1	1	False
GCF_027214225.1	NZ_JAPWHK010000005.1	1	240748	261204	hserlactone	1	1	False
GCF_027214225.1	NZ_JAPWHK010000006.1	1	273961	281503	RiPP-like	1	1	True
