accession	contig	region_number	max_similarity	n_mibig_hits	top_mibig_hit	novelty_category
GCF_001426345.1	NZ_LMEM01000009.1	1	0	0		novel
GCF_001426345.1	NZ_LMEM01000010.1	1	0	0		novel
GCF_001426345.1	NZ_LMEM01000013.1	1	30	17	BGC0002476	related
GCF_001426345.1	NZ_LMEM01000015.1	1	0	0		novel
GCF_001427605.1	NZ_LMGZ01000004.1	1	0	0		novel
GCF_001427605.1	NZ_LMGZ01000018.1	1	0	0		novel
GCF_001427605.1	NZ_LMGZ01000019.1	1	0	0		novel
GCF_001427605.1	NZ_LMGZ01000021.1	1	0	0		novel
GCF_001427605.1	NZ_LMGZ01000022.1	1	30	17	BGC0002476	related
GCF_001427605.1	NZ_LMGZ01000023.1	1	0	0		novel
GCF_001427875.1	NZ_LMHK01000001.1	1	10	1	BGC0001215	novel
GCF_001427875.1	NZ_LMHK01000001.1	2	0	0		novel
GCF_001427875.1	NZ_LMHK01000002.1	1	0	0		novel
GCF_001427875.1	NZ_LMHK01000003.1	1	0	0		novel
GCF_001650025.1	NZ_LVVY01000070.1	1	0	0		novel
GCF_001650025.1	NZ_LVVY01000098.1	1	0	0		novel
GCF_001899045.1	NZ_MKUY01000003.1	1	0	0		novel
GCF_001899045.1	NZ_MKUY01000003.1	2	0	0		novel
GCF_001899045.1	NZ_MKUY01000004.1	1	27	2	BGC0002494	novel
GCF_001899045.1	NZ_MKUY01000005.1	1	0	0		novel
GCF_001899065.1	NZ_MKUZ01000008.1	1	0	0		novel
GCF_001899065.1	NZ_MKUZ01000013.1	1	0	0		novel
GCF_001899065.1	NZ_MKUZ01000030.1	1	0	0		novel
GCF_001899075.1	NZ_MKVA01000002.1	1	0	0		novel
GCF_001899075.1	NZ_MKVA01000003.1	1	0	0		novel
GCF_001899075.1	NZ_MKVA01000003.1	2	0	0		novel
GCF_001899075.1	NZ_MKVA01000005.1	1	0	0		novel
GCF_001899075.1	NZ_MKVA01000005.1	2	0	0		novel
GCF_001899075.1	NZ_MKVA01000006.1	1	0	0		novel
GCF_001899085.1	NZ_MKVB01000001.1	1	0	0		novel
GCF_001899085.1	NZ_MKVB01000001.1	2	0	0		novel
GCF_001899085.1	NZ_MKVB01000002.1	1	0	0		novel
GCF_001899085.1	NZ_MKVB01000002.1	2	0	0		novel
GCF_001899085.1	NZ_MKVB01000003.1	1	0	0		novel
GCF_001899085.1	NZ_MKVB01000006.1	1	33	8	BGC0000435	related
GCF_002949085.1	NZ_CP026747.1	1	0	0		novel
GCF_002949085.1	NZ_CP026747.1	2	0	0		novel
GCF_002949085.1	NZ_CP026747.1	3	0	0		novel
GCF_002949085.1	NZ_CP026747.1	4	0	0		novel
GCF_002949085.1	NZ_CP026747.1	5	0	0		novel
GCF_002949085.1	NZ_CP026747.1	6	100	9	BGC0000856	known
GCF_003056345.1	NZ_PYWB01000001.1	1	0	0		novel
GCF_003056345.1	NZ_PYWB01000014.1	1	8	4	BGC0000350	novel
GCF_003056345.1	NZ_PYWB01000002.1	1	100	10	BGC0000656	known
GCF_003056345.1	NZ_PYWB01000003.1	1	0	0		novel
GCF_003056345.1	NZ_PYWB01000008.1	1	0	0		novel
GCF_003056355.1	NZ_PYVW01000001.1	1	0	0		novel
GCF_003056355.1	NZ_PYVW01000012.1	1	0	0		novel
GCF_003056355.1	NZ_PYVW01000018.1	1	0	0		novel
GCF_003056355.1	NZ_PYVW01000002.1	1	0	0		novel
GCF_003056355.1	NZ_PYVW01000009.1	1	8	3	BGC0000350	novel
GCF_003056405.1	NZ_PYVZ01000001.1	1	0	0		novel
GCF_003056405.1	NZ_PYVZ01000013.1	1	0	0		novel
GCF_003056405.1	NZ_PYVZ01000019.1	1	0	0		novel
GCF_003056405.1	NZ_PYVZ01000006.1	1	0	0		novel
GCF_003056405.1	NZ_PYVZ01000007.1	1	100	9	BGC0000856	known
GCF_003056405.1	NZ_PYVZ01000009.1	1	0	0		novel
GCF_004005995.1	NZ_CP034767.1	1	25	2	BGC0001380	novel
GCF_004005995.1	NZ_CP034767.1	2	0	0		novel
GCF_004005995.1	NZ_CP034767.1	3	0	0		novel
GCF_004005995.1	NZ_CP034767.1	4	100	10	BGC0000656	known
GCF_004005995.1	NZ_CP034767.1	5	0	0		novel
GCF_004005995.1	NZ_CP034767.1	6	0	0		novel
GCF_005222805.1	NZ_STGC01000005.1	1	0	0		novel
GCF_005222805.1	NZ_STGC01000005.1	2	4	1	BGC0002009	novel
GCF_005222805.1	NZ_STGC01000005.1	3	0	0		novel
GCF_005222805.1	NZ_STGC01000005.1	4	0	0		novel
GCF_005222805.1	NZ_STGC01000005.1	5	0	0		novel
GCF_005222805.1	NZ_STGC01000005.1	6	0	0		novel
GCF_005222805.1	NZ_STGC01000002.1	1	0	0		novel
GCF_007859655.1	NZ_CP042304.1	1	0	0		novel
GCF_007859655.1	NZ_CP042304.1	2	0	0		novel
GCF_007859655.1	NZ_CP042304.1	3	0	0		novel
GCF_007859655.1	NZ_CP042304.1	4	0	0		novel
GCF_007859655.1	NZ_CP042304.1	5	6	1	BGC0002656	novel
GCF_007859655.1	NZ_CP042304.1	6	30	17	BGC0002476	related
GCF_009758415.1	NZ_WQRF01000010.1	1	0	0		novel
GCF_009758415.1	NZ_WQRF01000001.1	1	0	0		novel
GCF_009758415.1	NZ_WQRF01000001.1	2	100	9	BGC0000856	known
GCF_009758415.1	NZ_WQRF01000001.1	3	0	0		novel
GCF_009758415.1	NZ_WQRF01000001.1	4	0	0		novel
GCF_009758415.1	NZ_WQRF01000002.1	1	0	0		novel
GCF_009758415.1	NZ_WQRF01000003.1	1	0	0		novel
GCF_009758415.1	NZ_WQRF01000004.1	1	0	0		novel
GCF_012847305.1	NZ_JABBDZ010000019.1	1	0	0		novel
GCF_012847305.1	NZ_JABBDZ010000001.1	1	0	0		novel
GCF_012847305.1	NZ_JABBDZ010000002.1	1	0	0		novel
GCF_012847305.1	NZ_JABBDZ010000002.1	2	0	0		novel
GCF_012847305.1	NZ_JABBDZ010000004.1	1	0	0		novel
GCF_012847305.1	NZ_JABBDZ010000005.1	1	0	0		novel
GCF_012847305.1	NZ_JABBDZ010000006.1	1	0	0		novel
GCF_013185955.1	NZ_JABAOM010000001.1	1	0	0		novel
GCF_013185955.1	NZ_JABAOM010000002.1	1	0	0		novel
GCF_013185955.1	NZ_JABAOM010000002.1	2	100	11	BGC0000656	known
GCF_013185955.1	NZ_JABAOM010000003.1	1	0	0		novel
GCF_013185955.1	NZ_JABAOM010000005.1	1	25	2	BGC0001380	novel
GCF_013185965.1	NZ_JABAOL010000001.1	1	0	0		novel
GCF_013185965.1	NZ_JABAOL010000001.1	2	18	2	BGC0001380	novel
GCF_013185965.1	NZ_JABAOL010000001.1	3	0	0		novel
GCF_013185965.1	NZ_JABAOL010000001.1	4	0	0		novel
GCF_013185965.1	NZ_JABAOL010000001.1	5	100	11	BGC0000656	known
GCF_014127105.1	NZ_CP059902.1	1	0	0		novel
GCF_014127105.1	NZ_CP059902.1	2	0	0		novel
GCF_014127105.1	NZ_CP059902.1	3	0	0		novel
GCF_014127105.1	NZ_CP059902.1	4	0	0		novel
GCF_014127105.1	NZ_CP059902.1	5	0	0		novel
GCF_014197055.1	NZ_JACIEW010000001.1	1	0	0		novel
GCF_014197055.1	NZ_JACIEW010000001.1	2	100	9	BGC0000856	known
GCF_014197055.1	NZ_JACIEW010000005.1	1	0	0		novel
GCF_014197055.1	NZ_JACIEW010000006.1	1	0	0		novel
GCF_014197055.1	NZ_JACIEW010000009.1	1	0	0		novel
GCF_014197055.1	NZ_JACIEW010000012.1	1	0	0		novel
GCF_014652635.1	NZ_BMZE01000001.1	1	0	0		novel
GCF_014652635.1	NZ_BMZE01000001.1	2	0	0		novel
GCF_014652635.1	NZ_BMZE01000002.1	1	0	0		novel
GCF_014652635.1	NZ_BMZE01000002.1	2	0	0		novel
GCF_014652635.1	NZ_BMZE01000004.1	1	100	9	BGC0000856	known
GCF_014837245.1	NZ_JACYFU010000001.1	1	0	0		novel
GCF_014837245.1	NZ_JACYFU010000001.1	2	0	0		novel
GCF_014837245.1	NZ_JACYFU010000003.1	1	0	0		novel
GCF_014837245.1	NZ_JACYFU010000004.1	1	100	9	BGC0000856	known
GCF_014837245.1	NZ_JACYFU010000004.1	2	0	0		novel
GCF_014926585.1	NZ_CP045422.1	1	0	0		novel
GCF_014926585.1	NZ_CP045422.1	2	0	0		novel
GCF_014926585.1	NZ_CP045422.1	3	16	2	BGC0000772	novel
GCF_014926585.1	NZ_CP045422.1	4	0	0		novel
GCF_014926585.1	NZ_CP045422.1	5	100	9	BGC0000856	known
GCF_014926585.1	NZ_CP045422.1	6	16	3	BGC0000772	novel
GCF_014926585.1	NZ_CP045422.1	7	0	0		novel
GCF_015158295.1	NZ_JACDXV010000001.1	1	0	0		novel
GCF_015158295.1	NZ_JACDXV010000002.1	1	100	1	BGC0001680	known
GCF_015158295.1	NZ_JACDXV010000002.1	2	0	0		novel
GCF_015158295.1	NZ_JACDXV010000002.1	3	0	0		novel
GCF_015158295.1	NZ_JACDXV010000007.1	1	0	0		novel
GCF_015234425.1	NZ_JADGNE010000014.1	1	0	0		novel
GCF_015234425.1	NZ_JADGNE010000026.1	1	0	0		novel
GCF_015234425.1	NZ_JADGNE010000033.1	1	0	0		novel
GCF_015234425.1	NZ_JADGNE010000044.1	1	100	10	BGC0000656	known
GCF_016411825.1	NZ_JAEKMH010000002.1	1	0	0		novel
GCF_016411825.1	NZ_JAEKMH010000003.1	1	0	0		novel
GCF_016411825.1	NZ_JAEKMH010000004.1	1	0	0		novel
GCF_016457235.1	NZ_JAEMEB010000015.1	1	0	0		novel
GCF_016457235.1	NZ_JAEMEB010000016.1	1	0	0		novel
GCF_016457235.1	NZ_JAEMEB010000003.1	1	0	0		novel
GCF_016457235.1	NZ_JAEMEB010000004.1	1	0	0		novel
GCF_016457235.1	NZ_JAEMEB010000005.1	1	0	0		novel
GCF_016461625.1	NZ_JAEMNZ010000001.1	1	0	0		novel
GCF_016461625.1	NZ_JAEMNZ010000020.1	1	0	0		novel
GCF_016461625.1	NZ_JAEMNZ010000002.1	1	0	0		novel
GCF_016461625.1	NZ_JAEMNZ010000003.1	1	0	0		novel
GCF_016461625.1	NZ_JAEMNZ010000007.1	1	0	0		novel
GCF_016595685.1	NZ_JAENGO010000001.1	1	0	0		novel
GCF_016595685.1	NZ_JAENGO010000004.1	1	0	0		novel
GCF_016595685.1	NZ_JAENGO010000005.1	1	0	0		novel
GCF_016595685.1	NZ_JAENGO010000005.1	2	0	0		novel
GCF_016595685.1	NZ_JAENGO010000007.1	1	0	0		novel
GCF_016698645.1	NZ_CP068047.1	1	0	0		novel
GCF_016698645.1	NZ_CP068047.1	2	0	0		novel
GCF_016698645.1	NZ_CP068047.1	3	0	0		novel
GCF_016698665.1	NZ_CP068046.1	1	0	0		novel
GCF_016698665.1	NZ_CP068046.1	2	0	0		novel
GCF_016698665.1	NZ_CP068046.1	3	0	0		novel
GCF_016698665.1	NZ_CP068046.1	4	100	10	BGC0000656	known
GCF_016698665.1	NZ_CP068046.1	5	0	0		novel
GCF_017307475.1	NZ_JAFKHC010000005.1	1	0	0		novel
GCF_017307475.1	NZ_JAFKHC010000005.1	2	0	0		novel
GCF_017307475.1	NZ_JAFKHC010000003.1	1	0	0		novel
GCF_017307475.1	NZ_JAFKHC010000003.1	2	0	0		novel
GCF_017307475.1	NZ_JAFKHC010000009.1	1	0	0		novel
GCF_017307475.1	NZ_JAFKHC010000010.1	1	0	0		novel
GCF_017307495.1	NZ_JAFKHE010000027.1	1	0	0		novel
GCF_017307495.1	NZ_JAFKHE010000031.1	1	0	0		novel
GCF_017307495.1	NZ_JAFKHE010000012.1	1	0	0		novel
GCF_017307495.1	NZ_JAFKHE010000017.1	1	0	0		novel
GCF_017307535.1	NZ_JAFKHA010000008.1	1	33	8	BGC0000435	related
GCF_017307535.1	NZ_JAFKHA010000010.1	1	0	0		novel
GCF_017307535.1	NZ_JAFKHA010000012.1	1	0	0		novel
GCF_017307535.1	NZ_JAFKHA010000012.1	2	0	0		novel
GCF_017307535.1	NZ_JAFKHA010000009.1	1	0	0		novel
GCF_017307535.1	NZ_JAFKHA010000009.1	2	0	0		novel
GCF_018334155.1	NZ_JAGXTP010000001.1	1	0	0		novel
GCF_018334155.1	NZ_JAGXTP010000001.1	2	0	0		novel
GCF_018334155.1	NZ_JAGXTP010000001.1	3	0	0		novel
GCF_018334155.1	NZ_JAGXTP010000001.1	4	100	9	BGC0000856	known
GCF_018334155.1	NZ_JAGXTP010000002.1	1	0	0		novel
GCF_018334155.1	NZ_JAGXTP010000003.1	1	100	1	BGC0001680	known
GCF_019504385.1	NZ_CP080590.1	1	0	0		novel
GCF_019504385.1	NZ_CP080590.1	2	0	0		novel
GCF_019504385.1	NZ_CP080590.1	3	100	9	BGC0000856	known
GCF_019504385.1	NZ_CP080590.1	4	0	0		novel
GCF_019504385.1	NZ_CP080590.1	5	0	0		novel
GCF_019504385.1	NZ_CP080590.1	6	0	0		novel
GCF_019504385.1	NZ_CP080590.1	7	0	0		novel
GCF_021729885.1	NZ_CP063401.1	1	0	0		novel
GCF_021729885.1	NZ_CP063401.1	2	8	1	BGC0000433	novel
GCF_021729885.1	NZ_CP063401.1	3	0	0		novel
GCF_021729885.1	NZ_CP063401.1	4	100	1	BGC0001680	known
GCF_021729885.1	NZ_CP063401.1	5	100	10	BGC0000656	known
GCF_021729885.1	NZ_CP063401.1	6	0	0		novel
GCF_022429625.1	NZ_CP092483.1	1	0	0		novel
GCF_022429625.1	NZ_CP092483.1	2	4	1	BGC0000379	novel
GCF_022429625.1	NZ_CP092483.1	3	0	0		novel
GCF_022429625.1	NZ_CP092483.1	4	0	0		novel
GCF_022429625.1	NZ_CP092483.1	5	0	0		novel
GCF_024158985.1	NZ_JAMYXP010000001.1	1	100	9	BGC0000856	known
GCF_024158985.1	NZ_JAMYXP010000001.1	2	0	0		novel
GCF_024158985.1	NZ_JAMYXP010000013.1	1	0	0		novel
GCF_024158985.1	NZ_JAMYXP010000014.1	1	0	0		novel
GCF_024158985.1	NZ_JAMYXP010000004.1	1	0	0		novel
GCF_024158985.1	NZ_JAMYXP010000006.1	1	0	0		novel
GCF_024273195.1	NZ_JAMZCU010000001.1	1	0	0		novel
GCF_024273195.1	NZ_JAMZCU010000002.1	1	0	0		novel
GCF_024273195.1	NZ_JAMZCU010000002.1	2	0	0		novel
GCF_024273195.1	NZ_JAMZCU010000003.1	1	0	0		novel
GCF_024273195.1	NZ_JAMZCU010000005.1	1	0	0		novel
GCF_024273195.1	NZ_JAMZCU010000006.1	1	100	9	BGC0000856	known
GCF_024273195.1	NZ_JAMZCU010000007.1	1	0	0		novel
GCF_024273195.1	NZ_JAMZCU010000008.1	1	0	0		novel
GCF_024273205.1	NZ_JAMWDU010000001.1	1	0	0		novel
GCF_024273205.1	NZ_JAMWDU010000002.1	1	0	0		novel
GCF_024273205.1	NZ_JAMWDU010000002.1	2	0	0		novel
GCF_024273205.1	NZ_JAMWDU010000003.1	1	0	0		novel
GCF_024273205.1	NZ_JAMWDU010000005.1	1	0	0		novel
GCF_024273205.1	NZ_JAMWDU010000006.1	1	0	0		novel
GCF_024273205.1	NZ_JAMWDU010000007.1	1	0	0		novel
GCF_024273205.1	NZ_JAMWDU010000009.1	1	100	9	BGC0000856	known
GCF_024707105.1	NZ_JANQAJ010000013.1	1	0	0		novel
GCF_024707105.1	NZ_JANQAJ010000011.1	1	0	0		novel
GCF_024707105.1	NZ_JANQAJ010000011.1	2	0	0		novel
GCF_024707105.1	NZ_JANQAJ010000005.1	1	30	17	BGC0002476	related
GCF_024707105.1	NZ_JANQAJ010000006.1	1	0	0		novel
GCF_025452235.1	NZ_CP104965.1	1	0	0		novel
GCF_025452235.1	NZ_CP104965.1	2	0	0		novel
GCF_025452235.1	NZ_CP104965.1	3	0	0		novel
GCF_025452235.1	NZ_CP104965.1	4	0	0		novel
GCF_025452235.1	NZ_CP104964.1	1	0	0		novel
GCF_025809055.1	NZ_CP075529.1	1	0	0		novel
GCF_025809055.1	NZ_CP075529.1	2	8	8	BGC0000350	novel
GCF_025809055.1	NZ_CP075529.1	3	0	0		novel
GCF_025809055.1	NZ_CP075529.1	4	0	0		novel
GCF_025809055.1	NZ_CP075529.1	5	0	0		novel
GCF_027214225.1	NZ_JAPWHK010000012.1	1	0	0		novel
GCF_027214225.1	NZ_JAPWHK010000001.1	1	100	9	BGC0000856	known
GCF_027214225.1	NZ_JAPWHK010000003.1	1	0	0		novel
GCF_027214225.1	NZ_JAPWHK010000004.1	1	0	0		novel
GCF_027214225.1	NZ_JAPWHK010000005.1	1	0	0		novel
GCF_027214225.1	NZ_JAPWHK010000006.1	1	0	0		novel
GCF_027214225.1	NZ_JAPWHK010000008.1	1	100	1	BGC0001680	known
GCF_028290435.1	NZ_JAQGJV010000082.1	1	0	0		novel
GCF_028290435.1	NZ_JAQGJV010000048.1	1	0	0		novel
GCF_028290435.1	NZ_JAQGJV010000042.1	1	0	0		novel
GCF_028290435.1	NZ_JAQGJV010000024.1	1	0	0		novel
GCF_028290435.1	NZ_JAQGJV010000003.1	1	0	0		novel
GCF_028290435.1	NZ_JAQGJV010000035.1	1	0	0		novel
GCF_028290625.1	NZ_JAQGJM010000040.1	1	0	0		novel
GCF_028290625.1	NZ_JAQGJM010000009.1	1	0	0		novel
GCF_028290625.1	NZ_JAQGJM010000015.1	1	0	0		novel
GCF_028290625.1	NZ_JAQGJM010000022.1	1	0	0		novel
GCF_028290625.1	NZ_JAQGJM010000021.1	1	0	0		novel
GCF_028613635.1	NZ_JAQRMY010000003.1	1	0	0		novel
GCF_028613635.1	NZ_JAQRMY010000004.1	1	0	0		novel
GCF_028816435.1	NZ_CP118245.1	1	0	0		novel
GCF_028816435.1	NZ_CP118245.1	2	100	1	BGC0001680	known
GCF_028816435.1	NZ_CP118245.1	3	0	0		novel
GCF_028816435.1	NZ_CP118245.1	4	100	9	BGC0000856	known
GCF_028816435.1	NZ_CP118245.1	5	0	0		novel
GCF_028816435.1	NZ_CP118245.1	6	0	0		novel
GCF_029201545.1	NZ_CP104007.1	1	0	0		novel
GCF_029201545.1	NZ_CP104007.1	2	100	10	BGC0000656	known
GCF_029201545.1	NZ_CP104007.1	3	0	0		novel
GCF_029201545.1	NZ_CP104007.1	4	0	0		novel
GCF_029201545.1	NZ_CP104007.1	5	0	0		novel
GCF_029201565.1	NZ_CP104002.1	1	100	10	BGC0000656	known
GCF_029201565.1	NZ_CP104002.1	2	0	0		novel
GCF_029201565.1	NZ_CP104002.1	3	0	0		novel
GCF_029201565.1	NZ_CP104002.1	4	0	0		novel
GCF_030159855.1	NZ_BSNG01000001.1	1	0	0		novel
GCF_030159855.1	NZ_BSNG01000001.1	2	0	0		novel
GCF_030159855.1	NZ_BSNG01000001.1	3	0	0		novel
GCF_030159855.1	NZ_BSNG01000003.1	1	0	0		novel
GCF_030160115.1	NZ_BSNS01000002.1	1	6	1	BGC0002656	novel
GCF_030160115.1	NZ_BSNS01000007.1	1	0	0		novel
GCF_030160115.1	NZ_BSNS01000007.1	2	0	0		novel
GCF_030160115.1	NZ_BSNS01000008.1	1	0	0		novel
GCF_030160115.1	NZ_BSNS01000011.1	1	0	0		novel
GCF_030160115.1	NZ_BSNS01000020.1	1	0	0		novel
GCF_030160115.1	NZ_BSNS01000024.1	1	0	0		novel
GCF_030177755.1	NZ_CP126539.1	1	0	0		novel
GCF_030177755.1	NZ_CP126539.1	2	0	0		novel
GCF_030177755.1	NZ_CP126539.1	3	100	9	BGC0000856	known
GCF_030177755.1	NZ_CP126539.1	4	100	1	BGC0001680	known
GCF_030285925.1	NZ_CP127251.1	1	0	0		novel
GCF_030285925.1	NZ_CP127251.1	2	0	0		novel
GCF_032907385.1	NZ_JAIMBX010000001.1	1	0	0		novel
GCF_032907385.1	NZ_JAIMBX010000001.1	2	0	0		novel
GCF_032907385.1	NZ_JAIMBX010000002.1	1	100	1	BGC0001680	known
GCF_032907385.1	NZ_JAIMBX010000003.1	1	0	0		novel
GCF_032907385.1	NZ_JAIMBX010000003.1	2	0	0		novel
GCF_032907385.1	NZ_JAIMBX010000004.1	1	0	0		novel
GCF_037113415.1	NZ_CP146608.1	1	100	9	BGC0000856	known
GCF_037113415.1	NZ_CP146608.1	2	0	0		novel
GCF_037113415.1	NZ_CP146608.1	3	0	0		novel
GCF_037113415.1	NZ_CP146608.1	4	0	0		novel
GCF_037113415.1	NZ_CP146608.1	5	0	0		novel
GCF_037113415.1	NZ_CP146608.1	6	22	3	BGC0001098	novel
GCF_040223715.1	NZ_JAVKFR010000006.1	1	0	0		novel
GCF_040223715.1	NZ_JAVKFR010000010.1	1	0	0		novel
GCF_040223715.1	NZ_JAVKFR010000020.1	1	0	0		novel
GCF_040223715.1	NZ_JAVKFR010000022.1	1	100	9	BGC0000856	known
GCF_040223715.1	NZ_JAVKFR010000024.1	1	0	0		novel
GCF_040223715.1	NZ_JAVKFR010000033.1	1	0	0		novel
GCF_040223715.1	NZ_JAVKFR010000033.1	2	0	0		novel
GCF_040223715.1	NZ_JAVKFR010000034.1	1	0	0		novel
GCF_040546795.1	NZ_JBEPOL010000001.1	1	0	0		novel
GCF_040546795.1	NZ_JBEPOL010000002.1	1	0	0		novel
GCF_040546795.1	NZ_JBEPOL010000003.1	1	0	0		novel
GCF_040546795.1	NZ_JBEPOL010000004.1	1	0	0		novel
GCF_040546795.1	NZ_JBEPOL010000007.1	1	0	0		novel
GCF_040546795.1	NZ_JBEPOL010000008.1	1	0	0		novel
GCF_040546795.1	NZ_JBEPOL010000009.1	1	0	0		novel
GCF_040546795.1	NZ_JBEPOL010000012.1	1	0	0		novel
GCF_040546815.1	NZ_JBEPOO010000001.1	1	0	0		novel
GCF_040546815.1	NZ_JBEPOO010000001.1	2	0	0		novel
GCF_042181575.1	NZ_CP170082.1	1	0	0		novel
GCF_042181575.1	NZ_CP170082.1	2	0	0		novel
GCF_042181575.1	NZ_CP170082.1	3	0	0		novel
GCF_042181575.1	NZ_CP170082.1	4	31	2	BGC0001380	related
GCF_042181575.1	NZ_CP170082.1	5	0	0		novel
GCF_042181575.1	NZ_CP170082.1	6	100	9	BGC0000856	known
GCF_042181575.1	NZ_CP170082.1	7	0	0		novel
GCF_042181575.1	NZ_CP170084.1	1	0	0		novel
GCF_042181575.1	NZ_CP170085.1	1	0	0		novel
GCF_042431865.1	NZ_JBHLYO010000001.1	1	0	0		novel
GCF_042431865.1	NZ_JBHLYO010000004.1	1	0	0		novel
GCF_042431865.1	NZ_JBHLYO010000010.1	1	0	0		novel
GCF_042431865.1	NZ_JBHLYO010000011.1	1	6	1	BGC0002656	novel
GCF_042431865.1	NZ_JBHLYO010000012.1	1	0	0		novel
GCF_042431865.1	NZ_JBHLYO010000015.1	1	0	0		novel
GCF_042431865.1	NZ_JBHLYO010000020.1	1	0	0		novel
GCF_042648785.1	NZ_JBHRYD010000001.1	1	0	0		novel
GCF_042648785.1	NZ_JBHRYD010000001.1	2	0	0		novel
GCF_042648785.1	NZ_JBHRYD010000007.1	1	0	0		novel
GCF_042648785.1	NZ_JBHRYD010000007.1	2	80	50	BGC0001185	known
GCF_042679405.1	NZ_JBHTMH010000001.1	1	0	0		novel
