accession	contig	region_number	max_mibig_similarity	top_mibig_hit	top_mibig_description	top_mibig_cluster_type	top_hit_blast_score	top_hit_n_homologous_genes	top_hit_core_gene_hits	novelty_category
GCF_007859655.1	NZ_CP042304.1	5	6	BGC0002656	oryzanaphthopyran A/oryzanaphthopyran B/oryzanaphthopyran C/oryzanthrone A/oryzanthrone B/chlororyzanthrone A/chlororyzanthrone B	Polyketide	501.0	2	0	related
GCF_007859655.1	NZ_CP042304.1	6	30	BGC0002476	enterobactin	NRP	908.0	3	0	related
GCF_009758415.1	NZ_WQRF01000010.1	1	0				0.0	0	0	novel
GCF_009758415.1	NZ_WQRF01000001.1	1	0				0.0	0	0	novel
GCF_009758415.1	NZ_WQRF01000001.1	2	100	BGC0000856	ectoine	Other	1224.0	4	1	known
GCF_009758415.1	NZ_WQRF01000001.1	3	0				0.0	0	0	novel
GCF_009758415.1	NZ_WQRF01000001.1	4	0				0.0	0	0	novel
GCF_009758415.1	NZ_WQRF01000002.1	1	0				0.0	0	0	novel
GCF_009758415.1	NZ_WQRF01000003.1	1	0				0.0	0	0	novel
GCF_009758415.1	NZ_WQRF01000004.1	1	0				0.0	0	0	novel
GCF_012847305.1	NZ_JABBDZ010000019.1	1	0				0.0	0	0	novel
GCF_012847305.1	NZ_JABBDZ010000001.1	1	0				0.0	0	0	novel
GCF_012847305.1	NZ_JABBDZ010000002.1	1	0				0.0	0	0	novel
GCF_012847305.1	NZ_JABBDZ010000002.1	2	0				0.0	0	0	novel
GCF_012847305.1	NZ_JABBDZ010000004.1	1	0				0.0	0	0	novel
GCF_012847305.1	NZ_JABBDZ010000005.1	1	0				0.0	0	0	novel
GCF_012847305.1	NZ_JABBDZ010000006.1	1	0				0.0	0	0	novel
GCF_013185955.1	NZ_JABAOM010000001.1	1	0				0.0	0	0	novel
GCF_013185955.1	NZ_JABAOM010000002.1	1	0				0.0	0	0	novel
GCF_013185955.1	NZ_JABAOM010000002.1	2	100	BGC0000656	zeaxanthin	Terpene	1316.0	3	2	known
GCF_013185955.1	NZ_JABAOM010000003.1	1	0				0.0	0	0	novel
GCF_013185955.1	NZ_JABAOM010000005.1	1	25	BGC0001380	salecan	Saccharide	1110.0	4	0	related
GCF_013185965.1	NZ_JABAOL010000001.1	1	0				0.0	0	0	novel
GCF_013185965.1	NZ_JABAOL010000001.1	2	18	BGC0001380	salecan	Saccharide	841.0	3	0	related
GCF_013185965.1	NZ_JABAOL010000001.1	3	0				0.0	0	0	novel
GCF_013185965.1	NZ_JABAOL010000001.1	4	0				0.0	0	0	novel
GCF_013185965.1	NZ_JABAOL010000001.1	5	100	BGC0000656	zeaxanthin	Terpene	1316.0	3	2	known
GCF_014127105.1	NZ_CP059902.1	1	0				0.0	0	0	novel
GCF_014127105.1	NZ_CP059902.1	2	0				0.0	0	0	novel
GCF_014127105.1	NZ_CP059902.1	3	0				0.0	0	0	novel
GCF_014127105.1	NZ_CP059902.1	4	0				0.0	0	0	novel
GCF_014127105.1	NZ_CP059902.1	5	0				0.0	0	0	novel
GCF_014197055.1	NZ_JACIEW010000001.1	1	0				0.0	0	0	novel
GCF_014197055.1	NZ_JACIEW010000001.1	2	100	BGC0000856	ectoine	Other	1228.0	4	1	known
GCF_014197055.1	NZ_JACIEW010000005.1	1	0				0.0	0	0	novel
GCF_014197055.1	NZ_JACIEW010000006.1	1	0				0.0	0	0	novel
GCF_014197055.1	NZ_JACIEW010000009.1	1	0				0.0	0	0	novel
GCF_014197055.1	NZ_JACIEW010000012.1	1	0				0.0	0	0	novel
GCF_014652635.1	NZ_BMZE01000001.1	1	0				0.0	0	0	novel
GCF_014652635.1	NZ_BMZE01000001.1	2	0				0.0	0	0	novel
GCF_014652635.1	NZ_BMZE01000002.1	1	0				0.0	0	0	novel
GCF_014652635.1	NZ_BMZE01000002.1	2	0				0.0	0	0	novel
GCF_014652635.1	NZ_BMZE01000004.1	1	100	BGC0000856	ectoine	Other	1258.0	4	1	known
GCF_014837245.1	NZ_JACYFU010000001.1	1	0				0.0	0	0	novel
GCF_014837245.1	NZ_JACYFU010000001.1	2	0				0.0	0	0	novel
GCF_014837245.1	NZ_JACYFU010000003.1	1	0				0.0	0	0	novel
GCF_014837245.1	NZ_JACYFU010000004.1	1	100	BGC0000856	ectoine	Other	1216.0	4	1	known
GCF_014837245.1	NZ_JACYFU010000004.1	2	0				0.0	0	0	novel
GCF_014926585.1	NZ_CP045422.1	1	0				0.0	0	0	novel
GCF_014926585.1	NZ_CP045422.1	2	0				0.0	0	0	novel
GCF_014926585.1	NZ_CP045422.1	3	16	BGC0000772	lipopolysaccharide	Saccharide	482.0	2	0	related
GCF_014926585.1	NZ_CP045422.1	4	0				0.0	0	0	novel
GCF_014926585.1	NZ_CP045422.1	5	100	BGC0000856	ectoine	Other	1214.0	4	1	known
GCF_014926585.1	NZ_CP045422.1	6	16	BGC0000772	lipopolysaccharide	Saccharide	482.0	2	0	related
GCF_014926585.1	NZ_CP045422.1	7	0				0.0	0	0	novel
GCF_015158295.1	NZ_JACDXV010000001.1	1	0				0.0	0	0	novel
GCF_015158295.1	NZ_JACDXV010000002.1	1	100	BGC0001680	N-acyl alanine	Other	177.0	1	1	known
GCF_015158295.1	NZ_JACDXV010000002.1	2	0				0.0	0	0	novel
GCF_015158295.1	NZ_JACDXV010000002.1	3	0				0.0	0	0	novel
GCF_015158295.1	NZ_JACDXV010000007.1	1	0				0.0	0	0	novel
GCF_015234425.1	NZ_JADGNE010000014.1	1	0				0.0	0	0	novel
GCF_015234425.1	NZ_JADGNE010000026.1	1	0				0.0	0	0	novel
GCF_015234425.1	NZ_JADGNE010000033.1	1	0				0.0	0	0	novel
GCF_015234425.1	NZ_JADGNE010000044.1	1	100	BGC0000656	zeaxanthin	Terpene	1288.0	3	2	known
GCF_016411825.1	NZ_JAEKMH010000002.1	1	0				0.0	0	0	novel
GCF_016411825.1	NZ_JAEKMH010000003.1	1	0				0.0	0	0	novel
GCF_016411825.1	NZ_JAEKMH010000004.1	1	0				0.0	0	0	novel
GCF_016457235.1	NZ_JAEMEB010000015.1	1	0				0.0	0	0	novel
GCF_016457235.1	NZ_JAEMEB010000016.1	1	0				0.0	0	0	novel
GCF_016457235.1	NZ_JAEMEB010000003.1	1	0				0.0	0	0	novel
GCF_016457235.1	NZ_JAEMEB010000004.1	1	0				0.0	0	0	novel
GCF_016457235.1	NZ_JAEMEB010000005.1	1	0				0.0	0	0	novel
GCF_016461625.1	NZ_JAEMNZ010000001.1	1	0				0.0	0	0	novel
GCF_016461625.1	NZ_JAEMNZ010000020.1	1	0				0.0	0	0	novel
GCF_016461625.1	NZ_JAEMNZ010000002.1	1	0				0.0	0	0	novel
GCF_016461625.1	NZ_JAEMNZ010000003.1	1	0				0.0	0	0	novel
GCF_016461625.1	NZ_JAEMNZ010000007.1	1	0				0.0	0	0	novel
GCF_016595685.1	NZ_JAENGO010000001.1	1	0				0.0	0	0	novel
GCF_016595685.1	NZ_JAENGO010000004.1	1	0				0.0	0	0	novel
GCF_016595685.1	NZ_JAENGO010000005.1	1	0				0.0	0	0	novel
GCF_016595685.1	NZ_JAENGO010000005.1	2	0				0.0	0	0	novel
GCF_016595685.1	NZ_JAENGO010000007.1	1	0				0.0	0	0	novel
GCF_016698645.1	NZ_CP068047.1	1	0				0.0	0	0	novel
GCF_016698645.1	NZ_CP068047.1	2	0				0.0	0	0	novel
GCF_016698645.1	NZ_CP068047.1	3	0				0.0	0	0	novel
GCF_016698665.1	NZ_CP068046.1	1	0				0.0	0	0	novel
GCF_016698665.1	NZ_CP068046.1	2	0				0.0	0	0	novel
GCF_016698665.1	NZ_CP068046.1	3	0				0.0	0	0	novel
GCF_016698665.1	NZ_CP068046.1	4	100	BGC0000656	zeaxanthin	Terpene	1309.0	3	2	known
GCF_016698665.1	NZ_CP068046.1	5	0				0.0	0	0	novel
GCF_017307475.1	NZ_JAFKHC010000005.1	1	0				0.0	0	0	novel
GCF_017307475.1	NZ_JAFKHC010000005.1	2	0				0.0	0	0	novel
GCF_017307475.1	NZ_JAFKHC010000003.1	1	0				0.0	0	0	novel
GCF_017307475.1	NZ_JAFKHC010000003.1	2	0				0.0	0	0	novel
GCF_017307475.1	NZ_JAFKHC010000009.1	1	0				0.0	0	0	novel
GCF_017307475.1	NZ_JAFKHC010000010.1	1	0				0.0	0	0	novel
GCF_017307495.1	NZ_JAFKHE010000027.1	1	0				0.0	0	0	novel
GCF_017307495.1	NZ_JAFKHE010000031.1	1	0				0.0	0	0	novel
GCF_017307495.1	NZ_JAFKHE010000012.1	1	0				0.0	0	0	novel
GCF_017307495.1	NZ_JAFKHE010000017.1	1	0				0.0	0	0	novel
GCF_017307535.1	NZ_JAFKHA010000008.1	1	33	BGC0000435	syringafactin	NRP	853.0	2	0	related
GCF_017307535.1	NZ_JAFKHA010000010.1	1	0				0.0	0	0	novel
GCF_017307535.1	NZ_JAFKHA010000012.1	1	0				0.0	0	0	novel
GCF_017307535.1	NZ_JAFKHA010000012.1	2	0				0.0	0	0	novel
GCF_017307535.1	NZ_JAFKHA010000009.1	1	0				0.0	0	0	novel
GCF_017307535.1	NZ_JAFKHA010000009.1	2	0				0.0	0	0	novel
GCF_018334155.1	NZ_JAGXTP010000001.1	1	0				0.0	0	0	novel
GCF_018334155.1	NZ_JAGXTP010000001.1	2	0				0.0	0	0	novel
GCF_018334155.1	NZ_JAGXTP010000001.1	3	0				0.0	0	0	novel
GCF_018334155.1	NZ_JAGXTP010000001.1	4	100	BGC0000856	ectoine	Other	1238.0	4	1	known
GCF_018334155.1	NZ_JAGXTP010000002.1	1	0				0.0	0	0	novel
GCF_018334155.1	NZ_JAGXTP010000003.1	1	100	BGC0001680	N-acyl alanine	Other	178.0	1	1	known
GCF_019504385.1	NZ_CP080590.1	1	0				0.0	0	0	novel
GCF_019504385.1	NZ_CP080590.1	2	0				0.0	0	0	novel
GCF_019504385.1	NZ_CP080590.1	3	100	BGC0000856	ectoine	Other	1216.0	4	1	known
GCF_019504385.1	NZ_CP080590.1	4	0				0.0	0	0	novel
GCF_019504385.1	NZ_CP080590.1	5	0				0.0	0	0	novel
GCF_019504385.1	NZ_CP080590.1	6	0				0.0	0	0	novel
GCF_019504385.1	NZ_CP080590.1	7	0				0.0	0	0	novel
GCF_021729885.1	NZ_CP063401.1	1	0				0.0	0	0	novel
GCF_021729885.1	NZ_CP063401.1	2	8	BGC0000433	surfactin	NRP:Lipopeptide	429.0	2	0	related
GCF_021729885.1	NZ_CP063401.1	3	0				0.0	0	0	novel
GCF_021729885.1	NZ_CP063401.1	4	100	BGC0001680	N-acyl alanine	Other	172.0	1	1	known
GCF_021729885.1	NZ_CP063401.1	5	100	BGC0000656	zeaxanthin	Terpene	1318.0	3	2	known
GCF_021729885.1	NZ_CP063401.1	6	0				0.0	0	0	novel
GCF_022429625.1	NZ_CP092483.1	1	0				0.0	0	0	novel
GCF_022429625.1	NZ_CP092483.1	2	4	BGC0000379	glycinocin A	NRP	736.0	2	0	related
GCF_022429625.1	NZ_CP092483.1	3	0				0.0	0	0	novel
GCF_022429625.1	NZ_CP092483.1	4	0				0.0	0	0	novel
GCF_022429625.1	NZ_CP092483.1	5	0				0.0	0	0	novel
GCF_024158985.1	NZ_JAMYXP010000001.1	1	100	BGC0000856	ectoine	Other	1228.0	4	1	known
GCF_024158985.1	NZ_JAMYXP010000001.1	2	0				0.0	0	0	novel
GCF_024158985.1	NZ_JAMYXP010000013.1	1	0				0.0	0	0	novel
GCF_024158985.1	NZ_JAMYXP010000014.1	1	0				0.0	0	0	novel
GCF_024158985.1	NZ_JAMYXP010000004.1	1	0				0.0	0	0	novel
GCF_024158985.1	NZ_JAMYXP010000006.1	1	0				0.0	0	0	novel
GCF_024273195.1	NZ_JAMZCU010000001.1	1	0				0.0	0	0	novel
GCF_024273195.1	NZ_JAMZCU010000002.1	1	0				0.0	0	0	novel
GCF_024273195.1	NZ_JAMZCU010000002.1	2	0				0.0	0	0	novel
GCF_024273195.1	NZ_JAMZCU010000003.1	1	0				0.0	0	0	novel
GCF_024273195.1	NZ_JAMZCU010000005.1	1	0				0.0	0	0	novel
GCF_024273195.1	NZ_JAMZCU010000006.1	1	100	BGC0000856	ectoine	Other	1199.0	4	1	known
GCF_024273195.1	NZ_JAMZCU010000007.1	1	0				0.0	0	0	novel
GCF_024273195.1	NZ_JAMZCU010000008.1	1	0				0.0	0	0	novel
GCF_024273205.1	NZ_JAMWDU010000001.1	1	0				0.0	0	0	novel
GCF_024273205.1	NZ_JAMWDU010000002.1	1	0				0.0	0	0	novel
GCF_024273205.1	NZ_JAMWDU010000002.1	2	0				0.0	0	0	novel
GCF_024273205.1	NZ_JAMWDU010000003.1	1	0				0.0	0	0	novel
GCF_024273205.1	NZ_JAMWDU010000005.1	1	0				0.0	0	0	novel
GCF_024273205.1	NZ_JAMWDU010000006.1	1	0				0.0	0	0	novel
GCF_024273205.1	NZ_JAMWDU010000007.1	1	0				0.0	0	0	novel
GCF_024273205.1	NZ_JAMWDU010000009.1	1	100	BGC0000856	ectoine	Other	1199.0	4	1	known
GCF_024707105.1	NZ_JANQAJ010000013.1	1	0				0.0	0	0	novel
GCF_024707105.1	NZ_JANQAJ010000011.1	1	0				0.0	0	0	novel
GCF_024707105.1	NZ_JANQAJ010000011.1	2	0				0.0	0	0	novel
GCF_024707105.1	NZ_JANQAJ010000005.1	1	30	BGC0002476	enterobactin	NRP	903.0	3	0	related
GCF_024707105.1	NZ_JANQAJ010000006.1	1	0				0.0	0	0	novel
GCF_025452235.1	NZ_CP104965.1	1	0				0.0	0	0	novel
GCF_025452235.1	NZ_CP104965.1	2	0				0.0	0	0	novel
GCF_025452235.1	NZ_CP104965.1	3	0				0.0	0	0	novel
GCF_025452235.1	NZ_CP104965.1	4	0				0.0	0	0	novel
GCF_025452235.1	NZ_CP104964.1	1	0				0.0	0	0	novel
GCF_025809055.1	NZ_CP075529.1	1	0				0.0	0	0	novel
GCF_025809055.1	NZ_CP075529.1	2	8	BGC0000350	ET-743	NRP:Beta-lactam	548.0	2	0	related
GCF_025809055.1	NZ_CP075529.1	3	0				0.0	0	0	novel
GCF_025809055.1	NZ_CP075529.1	4	0				0.0	0	0	novel
GCF_025809055.1	NZ_CP075529.1	5	0				0.0	0	0	novel
GCF_027214225.1	NZ_JAPWHK010000012.1	1	0				0.0	0	0	novel
GCF_027214225.1	NZ_JAPWHK010000001.1	1	100	BGC0000856	ectoine	Other	1236.0	4	1	known
GCF_027214225.1	NZ_JAPWHK010000003.1	1	0				0.0	0	0	novel
GCF_027214225.1	NZ_JAPWHK010000004.1	1	0				0.0	0	0	novel
GCF_027214225.1	NZ_JAPWHK010000005.1	1	0				0.0	0	0	novel
GCF_027214225.1	NZ_JAPWHK010000006.1	1	0				0.0	0	0	novel
GCF_027214225.1	NZ_JAPWHK010000008.1	1	100	BGC0001680	N-acyl alanine	Other	177.0	1	1	known
GCF_028290435.1	NZ_JAQGJV010000082.1	1	0				0.0	0	0	novel
GCF_028290435.1	NZ_JAQGJV010000048.1	1	0				0.0	0	0	novel
GCF_028290435.1	NZ_JAQGJV010000042.1	1	0				0.0	0	0	novel
GCF_028290435.1	NZ_JAQGJV010000024.1	1	0				0.0	0	0	novel
GCF_028290435.1	NZ_JAQGJV010000003.1	1	0				0.0	0	0	novel
GCF_028290435.1	NZ_JAQGJV010000035.1	1	0				0.0	0	0	novel
GCF_028290625.1	NZ_JAQGJM010000040.1	1	0				0.0	0	0	novel
GCF_028290625.1	NZ_JAQGJM010000009.1	1	0				0.0	0	0	novel
GCF_028290625.1	NZ_JAQGJM010000015.1	1	0				0.0	0	0	novel
GCF_028290625.1	NZ_JAQGJM010000022.1	1	0				0.0	0	0	novel
GCF_028290625.1	NZ_JAQGJM010000021.1	1	0				0.0	0	0	novel
