accession	contig	products
GCF_004005995.1	NZ_CP034767.1	terpene
GCF_004005995.1	NZ_CP034767.1	acyl_amino_acids
GCF_004005995.1	NZ_CP034767.1	hydrogen-cyanide
GCF_005222805.1	NZ_STGC01000005.1	RiPP-like
GCF_005222805.1	NZ_STGC01000005.1	T3PKS
GCF_005222805.1	NZ_STGC01000005.1	terpene
GCF_005222805.1	NZ_STGC01000005.1	betalactone
GCF_005222805.1	NZ_STGC01000005.1	RiPP-like
GCF_005222805.1	NZ_STGC01000005.1	hserlactone
GCF_005222805.1	NZ_STGC01000002.1	hserlactone
GCF_007859655.1	NZ_CP042304.1	hydrogen-cyanide
GCF_007859655.1	NZ_CP042304.1	terpene
GCF_007859655.1	NZ_CP042304.1	betalactone
GCF_007859655.1	NZ_CP042304.1	hserlactone
GCF_007859655.1	NZ_CP042304.1	T1PKS
GCF_007859655.1	NZ_CP042304.1	hserlactone
GCF_009758415.1	NZ_WQRF01000010.1	RiPP-like
GCF_009758415.1	NZ_WQRF01000001.1	RiPP-like
GCF_009758415.1	NZ_WQRF01000001.1	ectoine
GCF_009758415.1	NZ_WQRF01000001.1	terpene
GCF_009758415.1	NZ_WQRF01000001.1	betalactone
GCF_009758415.1	NZ_WQRF01000002.1	hserlactone
GCF_009758415.1	NZ_WQRF01000003.1	hserlactone
GCF_009758415.1	NZ_WQRF01000004.1	hserlactone
GCF_012847305.1	NZ_JABBDZ010000019.1	RRE-containing
GCF_012847305.1	NZ_JABBDZ010000001.1	terpene
GCF_012847305.1	NZ_JABBDZ010000002.1	RRE-containing
GCF_012847305.1	NZ_JABBDZ010000002.1	hserlactone
GCF_012847305.1	NZ_JABBDZ010000004.1	RiPP-like
GCF_012847305.1	NZ_JABBDZ010000005.1	betalactone
GCF_012847305.1	NZ_JABBDZ010000006.1	hserlactone
GCF_013185955.1	NZ_JABAOM010000001.1	terpene
GCF_013185955.1	NZ_JABAOM010000002.1	hserlactone
GCF_013185955.1	NZ_JABAOM010000002.1	terpene
GCF_013185955.1	NZ_JABAOM010000003.1	acyl_amino_acids
GCF_013185955.1	NZ_JABAOM010000005.1	RRE-containing;lassopeptide
GCF_013185965.1	NZ_JABAOL010000001.1	acyl_amino_acids
GCF_013185965.1	NZ_JABAOL010000001.1	RRE-containing;lassopeptide
GCF_013185965.1	NZ_JABAOL010000001.1	terpene
GCF_013185965.1	NZ_JABAOL010000001.1	hserlactone
GCF_013185965.1	NZ_JABAOL010000001.1	terpene
GCF_014127105.1	NZ_CP059902.1	RRE-containing
GCF_014127105.1	NZ_CP059902.1	terpene
GCF_014127105.1	NZ_CP059902.1	betalactone
GCF_014127105.1	NZ_CP059902.1	hserlactone
GCF_014127105.1	NZ_CP059902.1	hserlactone
GCF_014197055.1	NZ_JACIEW010000001.1	terpene
GCF_014197055.1	NZ_JACIEW010000001.1	ectoine
GCF_014197055.1	NZ_JACIEW010000005.1	hserlactone
GCF_014197055.1	NZ_JACIEW010000006.1	hserlactone
GCF_014197055.1	NZ_JACIEW010000009.1	T1PKS
GCF_014197055.1	NZ_JACIEW010000012.1	RiPP-like
GCF_014652635.1	NZ_BMZE01000001.1	terpene
GCF_014652635.1	NZ_BMZE01000001.1	RiPP-like
GCF_014652635.1	NZ_BMZE01000002.1	hserlactone
GCF_014652635.1	NZ_BMZE01000002.1	T3PKS
GCF_014652635.1	NZ_BMZE01000004.1	ectoine
GCF_014837245.1	NZ_JACYFU010000001.1	betalactone
GCF_014837245.1	NZ_JACYFU010000001.1	terpene
GCF_014837245.1	NZ_JACYFU010000003.1	T3PKS;hserlactone
GCF_014837245.1	NZ_JACYFU010000004.1	ectoine
GCF_014837245.1	NZ_JACYFU010000004.1	hserlactone
GCF_014926585.1	NZ_CP045422.1	hydrogen-cyanide
GCF_014926585.1	NZ_CP045422.1	RiPP-like
GCF_014926585.1	NZ_CP045422.1	hserlactone;T3PKS
GCF_014926585.1	NZ_CP045422.1	betalactone
GCF_014926585.1	NZ_CP045422.1	ectoine
GCF_014926585.1	NZ_CP045422.1	T3PKS
GCF_014926585.1	NZ_CP045422.1	terpene
GCF_015158295.1	NZ_JACDXV010000001.1	terpene
GCF_015158295.1	NZ_JACDXV010000002.1	acyl_amino_acids
GCF_015158295.1	NZ_JACDXV010000002.1	T1PKS;NRPS-like
GCF_015158295.1	NZ_JACDXV010000002.1	hserlactone
GCF_015158295.1	NZ_JACDXV010000007.1	hserlactone
GCF_015234425.1	NZ_JADGNE010000014.1	terpene
GCF_015234425.1	NZ_JADGNE010000026.1	hserlactone
GCF_015234425.1	NZ_JADGNE010000033.1	RRE-containing
GCF_015234425.1	NZ_JADGNE010000044.1	terpene
GCF_016411825.1	NZ_JAEKMH010000002.1	terpene
GCF_016411825.1	NZ_JAEKMH010000003.1	hserlactone
GCF_016411825.1	NZ_JAEKMH010000004.1	hserlactone
GCF_016457235.1	NZ_JAEMEB010000015.1	hserlactone
GCF_016457235.1	NZ_JAEMEB010000016.1	hserlactone
GCF_016457235.1	NZ_JAEMEB010000003.1	betalactone
GCF_016457235.1	NZ_JAEMEB010000004.1	terpene
GCF_016457235.1	NZ_JAEMEB010000005.1	RRE-containing
GCF_016461625.1	NZ_JAEMNZ010000001.1	terpene
GCF_016461625.1	NZ_JAEMNZ010000020.1	hserlactone
GCF_016461625.1	NZ_JAEMNZ010000002.1	betalactone
GCF_016461625.1	NZ_JAEMNZ010000003.1	RRE-containing
GCF_016461625.1	NZ_JAEMNZ010000007.1	hserlactone
GCF_016595685.1	NZ_JAENGO010000001.1	betalactone
GCF_016595685.1	NZ_JAENGO010000004.1	hserlactone
GCF_016595685.1	NZ_JAENGO010000005.1	hserlactone
GCF_016595685.1	NZ_JAENGO010000005.1	RRE-containing
GCF_016595685.1	NZ_JAENGO010000007.1	terpene
GCF_016698645.1	NZ_CP068047.1	hserlactone
GCF_016698645.1	NZ_CP068047.1	betalactone
GCF_016698645.1	NZ_CP068047.1	terpene
GCF_016698665.1	NZ_CP068046.1	hserlactone
GCF_016698665.1	NZ_CP068046.1	betalactone
GCF_016698665.1	NZ_CP068046.1	terpene
GCF_016698665.1	NZ_CP068046.1	terpene
GCF_016698665.1	NZ_CP068046.1	hserlactone
GCF_017307475.1	NZ_JAFKHC010000005.1	hydrogen-cyanide
GCF_017307475.1	NZ_JAFKHC010000005.1	hserlactone
GCF_017307475.1	NZ_JAFKHC010000003.1	betalactone
GCF_017307475.1	NZ_JAFKHC010000003.1	terpene
GCF_017307475.1	NZ_JAFKHC010000009.1	hydrogen-cyanide
GCF_017307475.1	NZ_JAFKHC010000010.1	hserlactone
GCF_017307495.1	NZ_JAFKHE010000027.1	redox-cofactor
GCF_017307495.1	NZ_JAFKHE010000031.1	thioamitides
GCF_017307495.1	NZ_JAFKHE010000012.1	betalactone
GCF_017307495.1	NZ_JAFKHE010000017.1	terpene
GCF_017307535.1	NZ_JAFKHA010000008.1	RRE-containing
GCF_017307535.1	NZ_JAFKHA010000010.1	LAP
GCF_017307535.1	NZ_JAFKHA010000012.1	redox-cofactor
GCF_017307535.1	NZ_JAFKHA010000012.1	thioamitides
GCF_017307535.1	NZ_JAFKHA010000009.1	terpene
GCF_017307535.1	NZ_JAFKHA010000009.1	thioamitides
GCF_018334155.1	NZ_JAGXTP010000001.1	hserlactone
GCF_018334155.1	NZ_JAGXTP010000001.1	betalactone
GCF_018334155.1	NZ_JAGXTP010000001.1	terpene
GCF_018334155.1	NZ_JAGXTP010000001.1	ectoine
GCF_018334155.1	NZ_JAGXTP010000002.1	RiPP-like
GCF_018334155.1	NZ_JAGXTP010000003.1	acyl_amino_acids
GCF_019504385.1	NZ_CP080590.1	hserlactone
GCF_019504385.1	NZ_CP080590.1	RiPP-like
GCF_019504385.1	NZ_CP080590.1	ectoine
GCF_019504385.1	NZ_CP080590.1	terpene
GCF_019504385.1	NZ_CP080590.1	T1PKS
GCF_019504385.1	NZ_CP080590.1	hserlactone
GCF_019504385.1	NZ_CP080590.1	hserlactone
GCF_021729885.1	NZ_CP063401.1	terpene
GCF_021729885.1	NZ_CP063401.1	hserlactone
GCF_021729885.1	NZ_CP063401.1	lassopeptide;RRE-containing
GCF_021729885.1	NZ_CP063401.1	acyl_amino_acids
GCF_021729885.1	NZ_CP063401.1	terpene
GCF_021729885.1	NZ_CP063401.1	thioamitides
GCF_022429625.1	NZ_CP092483.1	RRE-containing;lassopeptide
GCF_022429625.1	NZ_CP092483.1	hserlactone
GCF_022429625.1	NZ_CP092483.1	terpene
GCF_022429625.1	NZ_CP092483.1	betalactone
GCF_022429625.1	NZ_CP092483.1	hserlactone
GCF_024158985.1	NZ_JAMYXP010000001.1	ectoine
GCF_024158985.1	NZ_JAMYXP010000001.1	terpene
GCF_024158985.1	NZ_JAMYXP010000013.1	T1PKS
GCF_024158985.1	NZ_JAMYXP010000014.1	RiPP-like
GCF_024158985.1	NZ_JAMYXP010000004.1	hserlactone
GCF_024158985.1	NZ_JAMYXP010000006.1	hserlactone
GCF_024273195.1	NZ_JAMZCU010000001.1	terpene
GCF_024273195.1	NZ_JAMZCU010000002.1	acyl_amino_acids
GCF_024273195.1	NZ_JAMZCU010000002.1	hydrogen-cyanide
GCF_024273195.1	NZ_JAMZCU010000003.1	betalactone
GCF_024273195.1	NZ_JAMZCU010000005.1	hserlactone
GCF_024273195.1	NZ_JAMZCU010000006.1	ectoine
GCF_024273195.1	NZ_JAMZCU010000007.1	hserlactone
GCF_024273195.1	NZ_JAMZCU010000008.1	RiPP-like
GCF_024273205.1	NZ_JAMWDU010000001.1	terpene
GCF_024273205.1	NZ_JAMWDU010000002.1	hydrogen-cyanide
GCF_024273205.1	NZ_JAMWDU010000002.1	acyl_amino_acids
GCF_024273205.1	NZ_JAMWDU010000003.1	betalactone
GCF_024273205.1	NZ_JAMWDU010000005.1	hserlactone
GCF_024273205.1	NZ_JAMWDU010000006.1	RiPP-like
GCF_024273205.1	NZ_JAMWDU010000007.1	hserlactone
GCF_024273205.1	NZ_JAMWDU010000009.1	ectoine
GCF_024707105.1	NZ_JANQAJ010000013.1	betalactone
GCF_024707105.1	NZ_JANQAJ010000011.1	terpene
GCF_024707105.1	NZ_JANQAJ010000011.1	hydrogen-cyanide
GCF_024707105.1	NZ_JANQAJ010000005.1	hserlactone
GCF_024707105.1	NZ_JANQAJ010000006.1	hserlactone
GCF_025452235.1	NZ_CP104965.1	redox-cofactor
GCF_025452235.1	NZ_CP104965.1	hserlactone
GCF_025452235.1	NZ_CP104965.1	betalactone
GCF_025452235.1	NZ_CP104965.1	terpene
GCF_025452235.1	NZ_CP104964.1	hserlactone
GCF_025809055.1	NZ_CP075529.1	terpene
GCF_025809055.1	NZ_CP075529.1	phosphonate
GCF_025809055.1	NZ_CP075529.1	betalactone
GCF_025809055.1	NZ_CP075529.1	hserlactone
GCF_025809055.1	NZ_CP075529.1	hserlactone
GCF_027214225.1	NZ_JAPWHK010000012.1	hserlactone
GCF_027214225.1	NZ_JAPWHK010000001.1	ectoine
GCF_027214225.1	NZ_JAPWHK010000003.1	betalactone
GCF_027214225.1	NZ_JAPWHK010000004.1	terpene
GCF_027214225.1	NZ_JAPWHK010000005.1	hserlactone
GCF_027214225.1	NZ_JAPWHK010000006.1	RiPP-like
GCF_027214225.1	NZ_JAPWHK010000008.1	acyl_amino_acids
GCF_028290435.1	NZ_JAQGJV010000082.1	betalactone
GCF_028290435.1	NZ_JAQGJV010000048.1	hserlactone
GCF_028290435.1	NZ_JAQGJV010000042.1	T3PKS
GCF_028290435.1	NZ_JAQGJV010000024.1	hserlactone
GCF_028290435.1	NZ_JAQGJV010000003.1	terpene
GCF_028290435.1	NZ_JAQGJV010000035.1	hserlactone
GCF_028290625.1	NZ_JAQGJM010000040.1	hserlactone
GCF_028290625.1	NZ_JAQGJM010000009.1	betalactone
GCF_028290625.1	NZ_JAQGJM010000015.1	hserlactone
GCF_028290625.1	NZ_JAQGJM010000022.1	T3PKS
GCF_028290625.1	NZ_JAQGJM010000021.1	terpene
GCF_028613635.1	NZ_JAQRMY010000003.1	thioamitides
GCF_028613635.1	NZ_JAQRMY010000004.1	terpene
GCF_028816435.1	NZ_CP118245.1	hserlactone
GCF_028816435.1	NZ_CP118245.1	acyl_amino_acids
GCF_028816435.1	NZ_CP118245.1	RiPP-like
GCF_028816435.1	NZ_CP118245.1	ectoine
GCF_028816435.1	NZ_CP118245.1	terpene
GCF_028816435.1	NZ_CP118245.1	betalactone
GCF_029201545.1	NZ_CP104007.1	hserlactone
GCF_029201545.1	NZ_CP104007.1	terpene
GCF_029201545.1	NZ_CP104007.1	terpene
GCF_029201545.1	NZ_CP104007.1	hserlactone
GCF_029201545.1	NZ_CP104007.1	hserlactone
GCF_029201565.1	NZ_CP104002.1	terpene
GCF_029201565.1	NZ_CP104002.1	terpene
GCF_029201565.1	NZ_CP104002.1	hserlactone
GCF_029201565.1	NZ_CP104002.1	hserlactone
GCF_030159855.1	NZ_BSNG01000001.1	hserlactone
GCF_030159855.1	NZ_BSNG01000001.1	betalactone
GCF_030159855.1	NZ_BSNG01000001.1	terpene
GCF_030159855.1	NZ_BSNG01000003.1	redox-cofactor
GCF_030160115.1	NZ_BSNS01000002.1	hserlactone
GCF_030160115.1	NZ_BSNS01000007.1	LAP
GCF_030160115.1	NZ_BSNS01000007.1	acyl_amino_acids
GCF_030160115.1	NZ_BSNS01000008.1	betalactone
GCF_030160115.1	NZ_BSNS01000011.1	RiPP-like
GCF_030160115.1	NZ_BSNS01000020.1	RiPP-like
GCF_030160115.1	NZ_BSNS01000024.1	terpene
GCF_030177755.1	NZ_CP126539.1	hserlactone
GCF_030177755.1	NZ_CP126539.1	terpene
GCF_030177755.1	NZ_CP126539.1	ectoine
GCF_030177755.1	NZ_CP126539.1	acyl_amino_acids
GCF_030285925.1	NZ_CP127251.1	terpene
GCF_030285925.1	NZ_CP127251.1	betalactone
GCF_032907385.1	NZ_JAIMBX010000001.1	betalactone
GCF_032907385.1	NZ_JAIMBX010000001.1	terpene
GCF_032907385.1	NZ_JAIMBX010000002.1	acyl_amino_acids
GCF_032907385.1	NZ_JAIMBX010000003.1	thioamitides
GCF_032907385.1	NZ_JAIMBX010000003.1	hserlactone
GCF_032907385.1	NZ_JAIMBX010000004.1	hserlactone
GCF_037113415.1	NZ_CP146608.1	ectoine
GCF_037113415.1	NZ_CP146608.1	hserlactone
GCF_037113415.1	NZ_CP146608.1	RiPP-like
GCF_037113415.1	NZ_CP146608.1	terpene
GCF_037113415.1	NZ_CP146608.1	betalactone
GCF_037113415.1	NZ_CP146608.1	hserlactone;thioamitides
GCF_040223715.1	NZ_JAVKFR010000006.1	hserlactone
GCF_040223715.1	NZ_JAVKFR010000010.1	hserlactone
GCF_040223715.1	NZ_JAVKFR010000020.1	terpene
GCF_040223715.1	NZ_JAVKFR010000022.1	ectoine
GCF_040223715.1	NZ_JAVKFR010000024.1	hserlactone
GCF_040223715.1	NZ_JAVKFR010000033.1	hserlactone
GCF_040223715.1	NZ_JAVKFR010000033.1	hserlactone
GCF_040223715.1	NZ_JAVKFR010000034.1	RiPP-like
GCF_040546795.1	NZ_JBEPOL010000001.1	terpene
GCF_040546795.1	NZ_JBEPOL010000002.1	T3PKS
GCF_040546795.1	NZ_JBEPOL010000003.1	hserlactone
GCF_040546795.1	NZ_JBEPOL010000004.1	betalactone
GCF_040546795.1	NZ_JBEPOL010000007.1	hserlactone
GCF_040546795.1	NZ_JBEPOL010000008.1	hserlactone
GCF_040546795.1	NZ_JBEPOL010000009.1	T3PKS
GCF_040546795.1	NZ_JBEPOL010000012.1	hserlactone
GCF_040546815.1	NZ_JBEPOO010000001.1	hserlactone
GCF_040546815.1	NZ_JBEPOO010000001.1	terpene
GCF_042181575.1	NZ_CP170082.1	hserlactone
GCF_042181575.1	NZ_CP170082.1	hserlactone
GCF_042181575.1	NZ_CP170082.1	hserlactone
GCF_042181575.1	NZ_CP170082.1	RRE-containing;lassopeptide
GCF_042181575.1	NZ_CP170082.1	terpene
GCF_042181575.1	NZ_CP170082.1	ectoine
GCF_042181575.1	NZ_CP170082.1	RiPP-like
GCF_042181575.1	NZ_CP170084.1	hserlactone
GCF_042181575.1	NZ_CP170085.1	hserlactone
GCF_042431865.1	NZ_JBHLYO010000001.1	betalactone
GCF_042431865.1	NZ_JBHLYO010000004.1	LAP
GCF_042431865.1	NZ_JBHLYO010000010.1	RiPP-like
GCF_042431865.1	NZ_JBHLYO010000011.1	hserlactone
GCF_042431865.1	NZ_JBHLYO010000012.1	acyl_amino_acids
GCF_042431865.1	NZ_JBHLYO010000015.1	terpene
GCF_042431865.1	NZ_JBHLYO010000020.1	RiPP-like
GCF_042648785.1	NZ_JBHRYD010000001.1	terpene;betalactone
GCF_042648785.1	NZ_JBHRYD010000001.1	acyl_amino_acids
GCF_042648785.1	NZ_JBHRYD010000007.1	hserlactone
GCF_042648785.1	NZ_JBHRYD010000007.1	NRP-metallophore;NRPS
GCF_042679405.1	NZ_JBHTMH010000001.1	betalactone
GCF_042679405.1	NZ_JBHTMH010000001.1	terpene
GCF_042679405.1	NZ_JBHTMH010000001.1	thioamitides
GCF_042679405.1	NZ_JBHTMH010000003.1	hserlactone
GCF_042685625.1	NZ_JBHUNP010000001.1	terpene
GCF_042685625.1	NZ_JBHUNP010000001.1	hydrogen-cyanide
GCF_042685625.1	NZ_JBHUNP010000001.1	terpene
GCF_044987315.1	NZ_JBJDRE010000003.1	betalactone
GCF_044987315.1	NZ_JBJDRE010000009.1	terpene
GCF_044987315.1	NZ_JBJDRE010000010.1	redox-cofactor
GCF_044987315.1	NZ_JBJDRE010000012.1	hserlactone
GCF_046614475.1	NZ_JBKJHF010000001.1	hserlactone
GCF_046614475.1	NZ_JBKJHF010000001.1	terpene
GCF_046614475.1	NZ_JBKJHF010000001.1	betalactone
GCF_046614475.1	NZ_JBKJHF010000002.1	hserlactone
GCF_046614475.1	NZ_JBKJHF010000003.1	hserlactone
GCF_048261455.1	NZ_JBLXGA010000001.1	terpene
GCF_048261455.1	NZ_JBLXGA010000002.1	hydrogen-cyanide
GCF_048261455.1	NZ_JBLXGA010000003.1	thioamitides
GCF_048261455.1	NZ_JBLXGA010000004.1	terpene
GCF_048261455.1	NZ_JBLXGA010000009.1	betalactone
GCF_048261455.1	NZ_JBLXGA010000019.1	RiPP-like
GCF_049354815.1	NZ_CP186479.1	terpene
GCF_049354815.1	NZ_CP186479.1	RiPP-like
GCF_049354815.1	NZ_CP186479.1	thioamitides
GCF_051302775.1	NZ_JBNMEO010000001.1	hserlactone
GCF_051302775.1	NZ_JBNMEO010000006.1	acyl_amino_acids
GCF_051302775.1	NZ_JBNMEO010000008.1	ectoine
GCF_051302775.1	NZ_JBNMEO010000017.1	RiPP-like
GCF_051302775.1	NZ_JBNMEO010000091.1	terpene
GCF_051302775.1	NZ_JBNMEO010000093.1	betalactone
GCF_053550215.1	NZ_JBMQPQ010000006.1	hserlactone
GCF_053550215.1	NZ_JBMQPQ010000012.1	hserlactone
GCF_053550215.1	NZ_JBMQPQ010000013.1	terpene
GCF_053550215.1	NZ_JBMQPQ010000014.1	betalactone
GCF_054482695.1	NZ_JBTLRJ010000001.1	hserlactone
GCF_054482695.1	NZ_JBTLRJ010000001.1	betalactone
GCF_054482695.1	NZ_JBTLRJ010000001.1	NRPS-like
GCF_054482695.1	NZ_JBTLRJ010000002.1	ectoine
GCF_054482695.1	NZ_JBTLRJ010000002.1	RiPP-like
GCF_054482695.1	NZ_JBTLRJ010000003.1	terpene
GCF_054482695.1	NZ_JBTLRJ010000003.1	hserlactone
GCF_054482695.1	NZ_JBTLRJ010000005.1	hserlactone
GCF_054489345.1	NZ_JBTMWV010000001.1	betalactone
GCF_054489345.1	NZ_JBTMWV010000025.1	NRPS-like;T1PKS
GCF_054489345.1	NZ_JBTMWV010000039.1	hserlactone
GCF_054489345.1	NZ_JBTMWV010000004.1	hydrogen-cyanide
GCF_054489345.1	NZ_JBTMWV010000006.1	terpene
GCF_054489345.1	NZ_JBTMWV010000009.1	hserlactone
GCF_054489375.1	NZ_JBTMWU010000001.1	redox-cofactor
GCF_054489375.1	NZ_JBTMWU010000001.1	hserlactone
GCF_054489375.1	NZ_JBTMWU010000011.1	terpene
GCF_054489375.1	NZ_JBTMWU010000002.1	betalactone
